,Both sexes,Males,Females
0,127566,50213,77353
1,96637,88786,7851
2,98369,11907,86462
3,65246,6683,58563
4,115073,66556,48517
5,42181,30156,12025
6,104780,65947,38833
7,71991,49111,22880
8,127413,61580,65833
9,157233,95777,61456
10,90662,20663,69999
11,152088,54771,97317
12,153323,86450,66873
13,130929,37107,93822
14,159574,68280,91294
15,61929,27865,34064
16,142715,60557,82158
17,149728,94073,55655
18,144107,50602,93505
19,82065,35489,46576
20,132488,33317,99171
21,94637,12608,82029
22,99752,14716,85036
23,124722,36952,87770
24,93003,63029,29974
25,119232,45038,74194
26,140689,87154,53535
27,111736,58646,53090
28,48816,4598,44218
29,176157,90432,85725
30,103110,50524,52586
31,139100,88216,50884
32,81728,4713,77015
33,66391,65148,1243
34,175372,99894,75478
35,111141,31972,79169
36,71909,47021,24888
37,111442,42965,68477
38,32025,2517,29508
39,169359,77322,92037
40,72446,8699,63747
41,58858,46764,12094
42,98392,45556,52836
43,98327,51244,47083
44,86623,28220,58403
45,53032,21824,31208
46,86290,14459,71831
47,94410,30115,64295
48,35968,26744,9224
49,106968,9493,97475
50,75474,3881,71593
51,46475,30963,15512
52,99737,96043,3694
53,127572,63784,63788
54,88840,33053,55787
55,171080,80235,90845
56,99644,38829,60815
57,102237,15175,87062
58,186614,96229,90385
59,114573,76579,37994
60,18903,17042,1861
61,48636,4981,43655
62,57816,29805,28011
63,47640,34923,12717
64,81604,74000,7604
65,51610,14193,37417
66,36511,33301,3210
67,75853,34976,40877
68,85083,27005,58078
69,84316,64211,20105
70,87360,26758,60602
71,78871,9185,69686
72,20200,18436,1764
73,16455,8466,7989
74,111114,78640,32474
75,105557,47514,58043
76,112738,21436,91302
77,172585,94221,78364
78,133348,54505,78843
79,28022,11261,16761
80,68196,14886,53310
81,190237,98861,91376
82,70805,49334,21471
83,116888,84665,32223
84,99205,42973,56232
85,100685,62018,38667
86,142803,53459,89344
87,72816,54413,18403
88,118953,19726,99227
89,95943,90996,4947
90,146882,75037,71845
91,86663,25498,61165
92,85353,24557,60796
93,181555,93494,88061
94,163070,90849,72221
95,139393,80943,58450
96,146424,66813,79611
97,148800,61888,86912
98,123493,50970,72523
99,77633,21662,55971
100,139596,80744,58852
101,153745,73181,80564
102,118743,34209,84534
103,110304,98303,12001
104,105732,24675,81057
105,140444,44745,95699
