Postal Code,Place Name,State,Latitude,Longitude
3636,"POZO CERCADO (EL CHORRO (F), DPTO. RIVADAVIA (S))",SALTA,-23.4933,-61.9267
4123,LAS SALADAS,SALTA,-25.7833,-64.5
4126,EL BRETE,SALTA,-26.0667,-65.3667
4141,LA CIENEGUITA,SALTA,-26.4367,-65.97
4190,AGUAS CALIENTES,SALTA,-25.8,-65.0333
4191,SAN PEDRO DE LOS CORRALES,SALTA,-25.9689,-64.6583
4193,PUENTE DE PLATA,SALTA,-25.95,-64.7167
4198,"CAMARA (ARENAL, DPTO. ROSARIO DE LA FRONTERA)",SALTA,-25.7833,-65.0417
4400,CHAMICAL,SALTA,-24.8056,-65.3417
4401,VAQUEROS,SALTA,-24.7167,-65.4167
4403,CEBADOS,SALTA,-25.5,-65.2917
4405,EL PORVENIR,SALTA,-25.3833,-64.6667
4407,LA SILLETA,SALTA,-24.8667,-65.5833
4409,SAN BERNARDO DE LAS ZORRAS,SALTA,-24.5485,-65.8803
4411,NACIMIENTOS,SALTA,-24.1367,-66.51
4413,SALAR DE POCITOS,SALTA,-24.3333,-67.0167
4415,VILLITAS,SALTA,-24.9881,-66.0048
4417,CACHI ADENTRO,SALTA,-25.0833,-66.2333
4419,LA PAYA,SALTA,-25.15,-66.2333
4421,EL CARRIL,SALTA,-25.0833,-65.4667
4423,EL MOYAR,SALTA,-25.0917,-65.5458
4425,CASTAÑARES,SALTA,-25.5426,-65.4481
4427,ANGASTACO,SALTA,-25.6333,-66.1833
4430,AGUA CALIENTE,SALTA,-24.6167,-64.8833
4431,TACA TACA (ESTACION FCGB),SALTA,-24.8492,-64.8348
4432,GALLINATO,SALTA,-24.6708,-65.1708
4434,"EL NARANJO (PASO DE LA CRUZ, DPTO. ANTA)",SALTA,-24.9229,-64.7448
4440,VERA CRUZ,SALTA,-25.3583,-65.2292
4441,METAN VIEJO,SALTA,-25.5333,-64.9667
4444,FINCA ROCCA,SALTA,-25.3833,-64.6333
4446,"ALGARROBAL (CHAÑAR MUYO, DPTO. ANTA)",SALTA,-25.2095,-64.2929
4448,SAUCE SOLO,SALTA,-25.0083,-64.2
4449,"EL BORDO (APOLINARIO SARAVIA, DPTO. ANTA)",SALTA,-24.4718,-64.0782
4452,TALAVERA,SALTA,-25.4333,-63.8
4530,PARANI,SALTA,-23.2333,-64.9
4531,COLONIA SANTA ROSA,SALTA,-23.3667,-64.5
4533,ANGELICA,SALTA,-23.2667,-64.25
4534,EL QUIMILAR,SALTA,-23.3167,-63.95
4535,ALTO VERDE,SALTA,-23.9533,-63.12
4537,JERONIMO MATORRAS (ESTACION FCGB),SALTA,-23.8,-64.0792
4538,FINCA LA TOMA,SALTA,-23.4333,-64.35
4542,EL CULCO,SALTA,-23.55,-64.4167
4550,COLONIA OTOMANA,SALTA,-23.3611,-63.8111
4552,GENERAL BALLIVIAN,SALTA,-22.9333,-63.8667
4554,MONTE CARMELO,SALTA,-23.4143,-63.2167
4560,VILLA SAAVEDRA,SALTA,-22.3655,-63.4976
4561,AMBERES,SALTA,-22.5167,-62.5333
4562,GENERAL ENRIQUE MOSCONI,SALTA,-22.6,-63.8167
4563,CAMPAMENTO VESPUCIO,SALTA,-22.3655,-63.4976
4564,PIQUIRENDA,SALTA,-22.3333,-63.7833
4566,CAMPO DURAN,SALTA,-22.2333,-63.7
4568,ACAMBUCO,SALTA,-22.1833,-63.95
4633,SAN ANTONIO DE IRUYA,SALTA,-22.425,-65.5583
4644,BACOYA,SALTA,-22.3818,-65.5788
4650,NUEVO PORVENIR,SALTA,-22.1,-65.7333
4651,SAN FRANCISCO,SALTA,-22.2139,-65.2528
1601,ISLA MARTIN GARCIA,BUENOS AIRES,-34.5167,-58.5389
1602,FLORIDA,BUENOS AIRES,-34.5167,-58.5
1605,MUNRO,BUENOS AIRES,-34.5333,-58.55
1607,BARRIO OBRERO FERROVIARIO,BUENOS AIRES,-34.5167,-58.5389
1609,BOULOGNE ESTAFETA No.1,BUENOS AIRES,-34.5,-58.5667
1611,SOLANA DEL MONTE,BUENOS AIRES,-34.5,-58.6333
1612,KILOMETRO 30,BUENOS AIRES,-34.4696,-58.6713
1613,LOS POLVORINES,BUENOS AIRES,-34.5,-58.6833
1615,GRAND BOURG,BUENOS AIRES,-34.4833,-58.7167
1617,BARRIO EL ZORZAL,BUENOS AIRES,-34.4602,-58.6345
1619,GARIN,BUENOS AIRES,-34.4233,-58.7619
1621,LOS SANTOS VIEJOS,BUENOS AIRES,-34.4094,-58.7094
1623,BARRIO GARIN NORTE,BUENOS AIRES,-34.3676,-58.7325
1625,BELEN DE ESCOBAR,BUENOS AIRES,-34.3467,-58.8186
1627,MATHEU,BUENOS AIRES,-34.3831,-58.8489
1629,PILAR,BUENOS AIRES,-34.4836,-58.9319
1633,MANZONE,BUENOS AIRES,-34.4833,-58.8667
1635,"KILOMETRO 45 (APEADERO FCGU., PTE. DERQUI, PDO. PILAR)",BUENOS AIRES,-34.4972,-58.8636
1636,LA LUCILA,BUENOS AIRES,-34.5,-58.4833
1640,MARTINEZ ESTAFETA No.5,BUENOS AIRES,-34.4833,-58.5083
1642,SAN ISIDRO,BUENOS AIRES,-34.4708,-58.5286
1643,BECCAR,BUENOS AIRES,-34.4667,-58.5333
1644,DOCTOR ALBERT SCHWEITZER (PARADA FCGM),BUENOS AIRES,-34.3553,-58.5427
1646,SAN FERNANDO,BUENOS AIRES,-34.4442,-58.5775
1647,RIO PARANA GUAZU,BUENOS AIRES,-33.7833,-58.6
1648,NUEVO PUERTO TIGRE,BUENOS AIRES,-34.3553,-58.5427
1649,ARROYO ESPERA GRANDE,BUENOS AIRES,-34.3553,-58.5427
1650,SAN MARTIN (PDO. GRAL. SAN MARTIN),BUENOS AIRES,-34.5417,-58.5583
1651,SAN ANDRES,BUENOS AIRES,-34.55,-58.5333
1655,JOSE LEON SUAREZ,BUENOS AIRES,-34.5333,-58.5833
1657,BARRIO VILLA MARIA DE LOS REMEDIOS DE ESCALADA,BUENOS AIRES,-34.5417,-58.5583
1659,BARRIO DE SUBOFICIALES SARGENTO CABRAL (APEADERO F.C.G.U.),BUENOS AIRES,-34.5417,-58.5583
1661,"BARRIO JORGE NEWBERY (BELLA VISTA, PDO. GRAL. SARMIENTO)",BUENOS AIRES,-34.5096,-58.7618
1663,SAN MIGUEL ESTAFETA Nº6,BUENOS AIRES,-34.5326,-58.753
1664,BARRIO VILLA MANUELITA,BUENOS AIRES,-34.5096,-58.7618
1665,BARRIO SAN LUIS,BUENOS AIRES,-34.5,-58.75
1667,"RUTA 8 KILOMETRO 37,500 AL 41",BUENOS AIRES,-34.5096,-58.7618
1669,"LA LOMA (DEL VISO, PDO.GRAL.SARMIENTO)",BUENOS AIRES,-34.45,-58.8
1672,CORONEL FRANCISCO LINCH,BUENOS AIRES,-34.6,-58.5333
1674,SAENZ PEÑA,BUENOS AIRES,-34.6,-58.5333
1676,ALIANZA TALLERES,BUENOS AIRES,-34.6,-58.5333
1678,CASEROS SUCURSAL No.1,BUENOS AIRES,-34.6,-58.5333
1682,MARTIN CORONADO,BUENOS AIRES,-34.5708,-58.6243
1684,EL PALOMAR ESTAFETA No.1,BUENOS AIRES,-34.5417,-58.6153
1686,BARRIO PARQUE QUIRNO,BUENOS AIRES,-34.6,-58.6333
1688,SANTOS TESEI,BUENOS AIRES,-34.5708,-58.6243
1702,CIUDADELA ESTAFETA No.1,BUENOS AIRES,-34.6333,-58.5333
1704,RAMOS MEJIA,BUENOS AIRES,-34.6333,-58.5667
1706,HAEDO,BUENOS AIRES,-34.6333,-58.6
1708,MORON,BUENOS AIRES,-34.6425,-58.6181
1712,CASTELAR,BUENOS AIRES,-34.6667,-58.6667
1713,PARQUE LELOIR,BUENOS AIRES,-34.675,-58.6792
1714,BARRIO VILLA ALBERDI,BUENOS AIRES,-34.6667,-58.6667
1716,LIBERTAD,BUENOS AIRES,-34.7,-58.6833
1718,SAN ANTONIO DE PADUA,BUENOS AIRES,-34.6667,-58.7
1722,BARRIO PARQUE SAN MARTIN,BUENOS AIRES,-34.67,-58.7528
1723,MARIANO ACOSTA,BUENOS AIRES,-34.7261,-58.7908
1727,COLONIA HOGAR RICARDO GUTIERREZ,BUENOS AIRES,-34.85,-58.85
1733,PLOMER,BUENOS AIRES,-34.8,-59.0333
1735,EL DURAZNO,BUENOS AIRES,-34.8465,-59.0015
1737,LA CHOZA,BUENOS AIRES,-34.7833,-59.1167
1739,HORNOS,BUENOS AIRES,-34.9014,-58.9281
1741,LOZANO,BUENOS AIRES,-34.85,-59.05
1742,PASO DEL REY ESTAFETA Nº1,BUENOS AIRES,-34.65,-58.7667
1744,LOMAS DE SAN JOSE,BUENOS AIRES,-34.5483,-58.8646
1746,BARRIO LA TRADICION,BUENOS AIRES,-34.6333,-58.8667
1748,EL GRANADERO,BUENOS AIRES,-34.6181,-58.9564
1752,LOMAS DEL MIRADOR,BUENOS AIRES,-34.65,-58.5333
1754,SAN JUSTO,BUENOS AIRES,-34.6831,-58.5519
1755,RAFAEL CASTILLO ESTAFETA Nº2,BUENOS AIRES,-34.7167,-58.6167
1757,"BARRIO JORGE NEWBERY (LAFERRERE, PDO. LA MATANZA)",BUENOS AIRES,-34.75,-58.5833
1759,BARRIO NAHUEL,BUENOS AIRES,-34.7675,-58.6428
1761,"BARRIO EL SOL (PONTEVEDRA, PDO. MERLO",BUENOS AIRES,-34.7517,-58.7117
1763,"BARRIO SAN IGNACIO (VIRREY DEL PINO, PDO. LA MATANZA)",BUENOS AIRES,-34.7172,-58.6094
1765,ISIDRO CASANOVA ESTAFETA No.6,BUENOS AIRES,-34.7,-58.5833
1766,"BARRIO ALMAFUERTE (TABLADA, PDO. LA MATANZA)",BUENOS AIRES,-34.7,-58.5333
1770,TAPIALES,BUENOS AIRES,-34.7,-58.5167
1772,BARRIO VICENTE LOPEZ Y PLANES,BUENOS AIRES,-34.7083,-58.5083
1773,INGENIERO BUDGE,BUENOS AIRES,-34.7167,-58.4667
1776,9 DE ABRIL,BUENOS AIRES,-34.7083,-58.5083
1778,JUSTO VILLEGAS (PARADA FCGB.),BUENOS AIRES,-34.7167,-58.5333
