Postal Code,Place Name,State,County,City,Latitude,Longitude
1010,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2077,16.3705
1020,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2167,16.4
1030,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1981,16.3948
1040,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.192,16.3671
1050,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1865,16.3549
1060,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1952,16.3503
1070,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2,16.35
1080,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2167,16.35
1090,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2333,16.35
1100,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1711,16.3778
1110,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1758,16.4133
1120,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1667,16.3333
1130,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1833,16.3
1140,Purkersdorf,Niederösterreich,Politischer Bezirk Wien Umgebung,Purkersdorf,48.2077,16.1754
1150,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2,16.3333
1160,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2167,16.3
1170,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2333,16.3
1180,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2333,16.3167
1190,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.25,16.3331
1200,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2345,16.3741
1210,Langenzersdorf,Niederösterreich,Politischer Bezirk Korneuburg,Langenzersdorf,48.3,16.35
1220,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.2256,16.4997
1230,Wien,,Politischer Bezirk Wien (Stadt),Wien,48.1333,16.3
1300,Wien Flughafen,Niederösterreich,Politischer Bezirk Wien Umgebung,Schwechat,48.15,16.5167
2000,Hausleiten,Niederösterreich,Politischer Bezirk Korneuburg,Hausleiten,48.3929,16.1003
2002,Großmugl,Niederösterreich,Politischer Bezirk Korneuburg,Großmugl,48.4992,16.2306
2003,Niederhollabrunn,Niederösterreich,Politischer Bezirk Korneuburg,Niederhollabrunn,48.4333,16.3
2004,Niederhollabrunn,Niederösterreich,Politischer Bezirk Korneuburg,Niederhollabrunn,48.4333,16.3
2011,Leitzersdorf,Niederösterreich,Politischer Bezirk Korneuburg,Leitzersdorf,48.4167,16.2333
2013,Göllersdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Göllersdorf,48.4833,16.1167
2014,Dietersdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Hollabrunn,48.5615,16.1181
2020,Grabern,Niederösterreich,Politischer Bezirk Hollabrunn,Grabern,48.6066,16.0318
2022,Wullersdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Wullersdorf,48.6167,16.1
2023,Wullersdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Wullersdorf,48.6167,16.1
2024,Mailberg,Niederösterreich,Politischer Bezirk Hollabrunn,Mailberg,48.6667,16.1833
2031,Altenmarkt im Thale,Niederösterreich,Politischer Bezirk Hollabrunn,Hollabrunn,48.5833,16.2
2032,Hollabrunn,Niederösterreich,Politischer Bezirk Hollabrunn,Hollabrunn,48.55,16.0833
2033,Nappersdorf-Kammersdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Nappersdorf-Kammersdorf,48.6222,16.2278
2034,Großharras,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Großharras,48.6639,16.2456
2041,Wullersdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Wullersdorf,48.6167,16.1
2042,Grabern,Niederösterreich,Politischer Bezirk Hollabrunn,Grabern,48.6066,16.0318
2051,Zellerndorf,Niederösterreich,Politischer Bezirk Hollabrunn,Zellerndorf,48.6833,15.95
2052,Pernersdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Pernersdorf,48.7055,16.0305
2053,Haugsdorf,Niederösterreich,Politischer Bezirk Hollabrunn,Haugsdorf,48.7,16.0667
2054,Alberndorf im Pulkautal,Niederösterreich,Politischer Bezirk Hollabrunn,Alberndorf im Pulkautal,48.7292,16.05
2061,Hadres,Niederösterreich,Politischer Bezirk Hollabrunn,Hadres,48.7,16.1167
2062,Seefeld-Kadolz,Niederösterreich,Politischer Bezirk Hollabrunn,Seefeld-Kadolz,48.7125,16.1861
2063,Großharras,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Großharras,48.6639,16.2456
2064,Laa an der Thaya,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Laa an der Thaya,48.7167,16.3833
2070,Retz,Niederösterreich,Politischer Bezirk Hollabrunn,Retz,48.75,15.95
2073,Schrattenthal,Niederösterreich,Politischer Bezirk Hollabrunn,Schrattenthal,48.7,15.9
2074,Retz,Niederösterreich,Politischer Bezirk Hollabrunn,Retz,48.75,15.95
2081,Hardegg,Niederösterreich,Politischer Bezirk Hollabrunn,Hardegg,48.8263,15.8541
2082,Hardegg,Niederösterreich,Politischer Bezirk Hollabrunn,Hardegg,48.8263,15.8541
2083,Hardegg,Niederösterreich,Politischer Bezirk Hollabrunn,Hardegg,48.8111,15.8333
2084,Weitersfeld,Niederösterreich,Politischer Bezirk Horn,Weitersfeld,48.7694,15.7972
2091,Weitersfeld,Niederösterreich,Politischer Bezirk Horn,Weitersfeld,48.7767,15.7906
2092,Hardegg,Niederösterreich,Politischer Bezirk Hollabrunn,Hardegg,48.8417,15.7833
2093,Geras,Niederösterreich,Politischer Bezirk Horn,Geras,48.7973,15.6727
2094,Drosendorf-Zissersdorf,Niederösterreich,Politischer Bezirk Horn,Drosendorf-Zissersdorf,48.8355,15.5857
2095,Drosendorf-Zissersdorf,Niederösterreich,Politischer Bezirk Horn,Drosendorf-Zissersdorf,48.865,15.61
2100,Leobendorf,Niederösterreich,Politischer Bezirk Korneuburg,Leobendorf,48.3833,16.3167
2102,Bisamberg,Niederösterreich,Politischer Bezirk Korneuburg,Bisamberg,48.3333,16.35
2103,Langenzersdorf,Niederösterreich,Politischer Bezirk Korneuburg,Langenzersdorf,48.3,16.35
2104,Spillern,Niederösterreich,Politischer Bezirk Korneuburg,Spillern,48.3833,16.25
2105,Oberrohrbach,Niederösterreich,Politischer Bezirk Korneuburg,Leobendorf,48.3817,16.3204
2111,Rückersdorf,Niederösterreich,Politischer Bezirk Korneuburg,Harmannsdorf,48.4214,16.281
2112,Harmannsdorf,Niederösterreich,Politischer Bezirk Korneuburg,Harmannsdorf,48.4137,16.3805
2113,Karnabrunn,Niederösterreich,Politischer Bezirk Korneuburg,Großrußbach,48.45,16.3667
2114,Großrußbach,Niederösterreich,Politischer Bezirk Korneuburg,Großrußbach,48.4667,16.4167
2115,Ernstbrunn,Niederösterreich,Politischer Bezirk Korneuburg,Ernstbrunn,48.5333,16.35
2116,Ernstbrunn,Niederösterreich,Politischer Bezirk Korneuburg,Ernstbrunn,48.5333,16.35
2120,Wolkersdorf im Weinviertel,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Wolkersdorf im Weinviertel,48.3667,16.5167
2122,Ulrichskirchen-Schleinbach,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Ulrichskirchen-Schleinbach,48.3958,16.4792
2123,Wolfpassing a.d.Hochleithen,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Hochleithen,48.4306,16.4972
2124,Kreuzstetten,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Kreuzstetten,48.4997,16.5003
2125,Hochleithen,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Hochleithen,48.4667,16.5333
2126,Ladendorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Ladendorf,48.5333,16.4833
2130,Mistelbach,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Mistelbach,48.57,16.5767
2132,Mistelbach,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Mistelbach,48.57,16.5767
2133,Fallbach,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Fallbach,48.65,16.4167
2134,Staatz,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Staatz,48.6667,16.4833
2135,Neudorf bei Staatz,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Neudorf bei Staatz,48.7208,16.4914
2136,Laa an der Thaya,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Laa an der Thaya,48.7167,16.3833
2141,Poysdorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Poysdorf,48.6667,16.6333
2143,Großkrut,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Großkrut,48.6439,16.7236
2144,Altlichtenwarth,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Altlichtenwarth,48.6333,16.8
2145,Hausbrunn,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Hausbrunn,48.6167,16.8167
2151,Asparn an der Zaya,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Asparn an der Zaya,48.5833,16.5
2152,Gnadendorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Gnadendorf,48.6167,16.4
2153,Stronsdorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Stronsdorf,48.65,16.2833
2154,Unterstinkenbrunn,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Unterstinkenbrunn,48.6667,16.3333
2161,Poysdorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Poysdorf,48.6667,16.6333
2162,Falkenstein,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Falkenstein,48.7145,16.5909
2163,Ottenthal,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Ottenthal,48.7715,16.5719
2164,Wildendürnbach,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Wildendürnbach,48.7665,16.4917
2165,Drasenhofen,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Drasenhofen,48.75,16.65
2170,Poysdorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Poysdorf,48.6667,16.6333
2171,Herrnbaumgarten,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Herrnbaumgarten,48.6833,16.6833
2172,Schrattenberg,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Schrattenberg,48.6639,16.6389
2181,Palterndorf-Dobermannsdorf,Niederösterreich,Politischer Bezirk Gänserndorf,Palterndorf-Dobermannsdorf,48.6,16.8167
2182,Palterndorf-Dobermannsdorf,Niederösterreich,Politischer Bezirk Gänserndorf,Palterndorf-Dobermannsdorf,48.5833,16.8167
2183,Neusiedl an der Zaya,Niederösterreich,Politischer Bezirk Gänserndorf,Neusiedl an der Zaya,48.6333,16.8
2184,Hauskirchen,Niederösterreich,Politischer Bezirk Gänserndorf,Hauskirchen,48.6,16.7667
2185,Rannersdorf an der Zaya,Niederösterreich,Politischer Bezirk Gänserndorf,Hauskirchen,48.6036,16.7167
2191,Gaweinstal,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Gaweinstal,48.4667,16.5833
2192,Mistelbach,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Mistelbach,48.57,16.5767
2193,Wilfersdorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Wilfersdorf,48.5951,16.662
2201,Hagenbrunn,Niederösterreich,Politischer Bezirk Korneuburg,Hagenbrunn,48.3333,16.4
2202,Hagenbrunn,Niederösterreich,Politischer Bezirk Korneuburg,Hagenbrunn,48.3333,16.4
2203,Manhartsbrunn,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Großebersdorf,48.3833,16.4167
2211,Pillichsdorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Pillichsdorf,48.35,16.5333
2212,Groß-Engersdorf,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Großengersdorf,48.35,16.5667
2213,Bockfließ,Niederösterreich,Politischer Bezirk Mistelbach an der Zaya,Bockfließ,48.36,16.6039
2214,Auersthal,Niederösterreich,Politischer Bezirk Gänserndorf,Auersthal,48.3667,16.6333
2215,Matzen-Raggendorf,Niederösterreich,Politischer Bezirk Gänserndorf,Matzen-Raggendorf,48.3941,16.6582
2221,Groß-Schweinbarth,Niederösterreich,Politischer Bezirk Gänserndorf,Groß-Schweinbarth,48.4147,16.6319
2222,Bad Pirawarth,Niederösterreich,Politischer Bezirk Gänserndorf,Bad Pirawarth,48.4519,16.5983
2223,Matzen-Raggendorf,Niederösterreich,Politischer Bezirk Gänserndorf,Matzen-Raggendorf,48.4626,16.6235
2224,Sulz im Weinviertel,Niederösterreich,Politischer Bezirk Gänserndorf,Sulz im Weinviertel,48.4901,16.6743
2225,Zistersdorf,Niederösterreich,Politischer Bezirk Gänserndorf,Zistersdorf,48.5333,16.75
2230,Gänserndorf,Niederösterreich,Politischer Bezirk Gänserndorf,Gänserndorf,48.3392,16.7202
2231,Strasshof an der Nordbahn,Niederösterreich,Politischer Bezirk Gänserndorf,Strasshof an der Nordbahn,48.3167,16.6667
2232,Deutsch-Wagram,Niederösterreich,Politischer Bezirk Gänserndorf,Deutsch-Wagram,48.2997,16.5667
