Postal Code,Place Name,State,State Abbreviation,City,Latitude,Longitude
1000,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1005,Conseil Region Bruxelles-Capitale,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1006,Raad Vlaamse Gemeenschapscommissie,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1007,Ass. Commiss. Communau. française,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1008,Chambre des Représentants,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1009,Senat de Belgique,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1010,Cité Administrative de l'Etat,Bruxelles-Capitale,BRU,Bruxelles,50.8476,4.3428
1011,Vlaamse Raad - Vlaams Parlement,Bruxelles-Capitale,BRU,Bruxelles,50.8476,4.3428
1012,Parlement de la Communauté française,Bruxelles-Capitale,BRU,Bruxelles,50.8476,4.3428
1020,Bruxelles Laeken,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1030,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1031,Organisations Sociales Chrétiennes,Bruxelles-Capitale,BRU,Bruxelles,50.8483,4.3681
1040,Bruxelles Etterbeek,Bruxelles-Capitale,BRU,Bruxelles,50.8358,4.388
1041,International Press Center,Bruxelles-Capitale,BRU,Bruxelles,50.8412,4.3704
1043,VRT,Bruxelles-Capitale,BRU,Bruxelles,50.8412,4.3704
1044,RTBF,Bruxelles-Capitale,BRU,Bruxelles,50.8412,4.3704
1045,D.I.V.,Bruxelles-Capitale,BRU,Bruxelles,50.8412,4.3704
1047,Parlement Européen,Bruxelles-Capitale,BRU,Bruxelles,50.8412,4.3704
1048,U.E.-Conseil,Bruxelles-Capitale,BRU,Bruxelles,50.8412,4.3704
1049,U.E.-Commission,Bruxelles-Capitale,BRU,Bruxelles,50.8412,4.3704
1050,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1060,Bruxelles Saint-Gilles,Bruxelles-Capitale,BRU,Bruxelles,50.8167,4.3333
1070,Bruxelles Anderlecht,Bruxelles-Capitale,BRU,Bruxelles,50.8333,4.3
1080,Bruxelles Molenbeek-Saint-Jean,Bruxelles-Capitale,BRU,Bruxelles,50.85,4.3167
1081,Bruxelles Koekelberg,Bruxelles-Capitale,BRU,Bruxelles,50.8667,4.3333
1082,Bruxelles Berchem-Sainte-Agathe,Bruxelles-Capitale,BRU,Bruxelles,50.8667,4.2833
1083,Bruxelles Ganshoren,Bruxelles-Capitale,BRU,Bruxelles,50.8667,4.3
1090,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1110,OTAN - NATO,Bruxelles-Capitale,BRU,Bruxelles,50.8765,4.422
1120,Bruxelles Nederover-Heembeek,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1130,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1140,Bruxelles Evere,Bruxelles-Capitale,BRU,Bruxelles,50.8667,4.4
1150,Bruxelles Woluwe-Saint-Pierre,Bruxelles-Capitale,BRU,Bruxelles,50.8333,4.4167
1160,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1170,Bruxelles,Bruxelles-Capitale,BRU,Bruxelles,50.8466,4.3528
1180,Bruxelles Uccle,Bruxelles-Capitale,BRU,Bruxelles,50.8,4.3167
1190,Bruxelles Forest,Bruxelles-Capitale,BRU,Bruxelles,50.8,4.3167
1200,Bruxelles Woluwé-Saint-Lambert,Bruxelles-Capitale,BRU,Bruxelles,50.85,4.4
1201,R.T.L. - T.V.I.,Bruxelles-Capitale,BRU,Bruxelles,50.8425,4.426
