Postal Code,Place Name,State,State Abbreviation,County,City,Latitude,Longitude
8500,????? / Ajtos,?????? / Burgas,BGS,????? / Ajtos,,42.7,27.25
8517,??????? / Zet'ovo,?????? / Burgas,BGS,????? / Ajtos,??????? / Zet'ovo,42.75,27.2333
8518,??????? / Ljaskovo,?????? / Burgas,BGS,????? / Ajtos,,42.7333,27.3
8519,????? ?????? / Malka poljana,?????? / Burgas,BGS,????? / Ajtos,????? ?????? / Malka poljana,42.6333,27.2333
8522,??????? / Sudievo,?????? / Burgas,BGS,????? / Ajtos,??????? / Sudievo,42.6667,27.3167
8523,?????? / Muglen,?????? / Burgas,BGS,????? / Ajtos,?????? / Muglen,42.7333,27.3667
8524,????????? / Drjankovec,?????? / Burgas,BGS,????? / Ajtos,,42.6833,27.3667
8525,???????? / Peshhersko,?????? / Burgas,BGS,????? / Ajtos,???????? / Peshhersko,42.75,27.3333
8527,????? ?????? / Cherna mogila,?????? / Burgas,BGS,????? / Ajtos,????? ?????? / Cherna mogila,42.75,27.4
8528,????? / Pirne,?????? / Burgas,BGS,????? / Ajtos,????? / Pirne,42.6833,27.2
8529,??????? / Chukarka,?????? / Burgas,BGS,????? / Ajtos,??????? / Chukarka,42.65,27.1167
8532,???????? / Karanovo,?????? / Burgas,BGS,????? / Ajtos,???????? / Karanovo,42.65,27.2
8543,????????????? / Karageorgievo,?????? / Burgas,BGS,????? / Ajtos,????????????? / Karageorgievo,42.7333,27.1833
8544,???????? / Poljanovo,?????? / Burgas,BGS,????? / Ajtos,???????? / Poljanovo,42.7167,27.1833
8545,????????? / Chernograd,?????? / Burgas,BGS,????? / Ajtos,????????? / Chernograd,42.7167,27.1
8547,????????? / Raklinovo,?????? / Burgas,BGS,????? / Ajtos,,42.7667,27.05
8549,???????? / Topolica,?????? / Burgas,BGS,????? / Ajtos,???????? / Topolica,42.7333,27.1167
8000,?????? / Burgas,?????? / Burgas,BGS,?????? / Burgas,,42.5,27.4667
8111,??????? / Bratovo,?????? / Burgas,BGS,?????? / Burgas,,42.5,27.3
8112,?????? / Rudnik,?????? / Burgas,BGS,?????? / Burgas,?????? / Rudnik,42.6167,27.4833
8113,????????? / Brjastovec,?????? / Burgas,BGS,?????? / Burgas,,42.6667,27.4667
8114,????????? / Draganovo,?????? / Burgas,BGS,?????? / Burgas,????????? / Draganovo,42.7,27.4333
8115,????? ???? / Cherno more,?????? / Burgas,BGS,?????? / Burgas,????? ???? / Cherno more,42.6333,27.4833
8116,???????? / Izvorishhe,?????? / Burgas,BGS,?????? / Burgas,???????? / Izvorishhe,42.65,27.45
8117,?????? / Ravnec,?????? / Burgas,BGS,?????? / Burgas,?????? / Ravnec,42.5167,27.25
