Postal Code,Place Name,State,Latitude,Longitude
69945-000,Acrelândia,Acre,-9.9805,-66.8439
69935-000,Assis Brasil,Acre,-10.8833,-70.0131
69932-000,Brasiléia,Acre,-10.7677,-69.0114
69923-000,Bujari,Acre,-9.5786,-68.172
69922-000,Capixaba,Acre,-10.4878,-67.8483
69980-000,Cruzeiro do Sul,Acre,-8.0159,-72.9298
69934-000,Epitaciolândia,Acre,-10.9354,-68.4441
69960-000,Feijó,Acre,-8.905,-70.9149
69975-000,Jordão,Acre,-9.0917,-71.8407
69990-000,Mâncio Lima,Acre,-7.5396,-73.4583
69950-000,Manoel Urbano,Acre,-9.4895,-70.0124
69983-000,Marechal Thaumaturgo,Acre,-9.1899,-72.5685
69928-000,Plácido de Castro,Acre,-10.2943,-67.2682
69982-000,Porto Walter,Acre,-8.5247,-72.8207
69900-000,Rio Branco,Acre,-10.0699,-68.1553
69985-000,Rodrigues Alves,Acre,-7.8529,-73.2361
69955-000,Santa Rosa do Purus,Acre,-9.4773,-70.3903
69925-000,Senador Guiomard,Acre,-9.9408,-67.3931
69940-000,Sena Madureira,Acre,-10.0357,-69.5497
69970-000,Tarauacá,Acre,-8.6552,-71.4234
69930-000,Xapuri,Acre,-10.5966,-68.6489
69921-000,Porto Acre,Acre,-9.6504,-67.7773
57490-000,Água Branca,Alagoas ,-9.2699,-37.9192
57660-000,Anadia,Alagoas ,-9.6749,-36.3379
57300-000,Arapiraca,Alagoas ,-9.7438,-36.5931
57690-000,Atalaia,Alagoas ,-9.5298,-36.0746
57925-000,Barra de Santo Antônio,Alagoas ,-9.3975,-35.5654
57180-000,Barra de São Miguel,Alagoas ,-9.8123,-35.9609
57420-000,Batalha,Alagoas ,-9.7326,-37.0888
57630-000,Belém,Alagoas ,-9.5442,-36.502
57435-000,Belo Monte,Alagoas ,-9.8052,-37.1916
57680-000,Boca da Mata,Alagoas ,-9.6465,-36.1413
57830-000,Branquinha,Alagoas ,-9.2117,-36.0896
57570-000,Cacimbinhas,Alagoas ,-9.449,-36.9047
57770-000,Cajueiro,Alagoas ,-9.3763,-36.1577
57968-000,Campestre,Alagoas ,-8.8939,-35.5324
57250-000,Campo Alegre,Alagoas ,-9.7933,-36.2857
57350-000,Campo Grande,Alagoas ,-9.95,-36.7559
57530-000,Canapi,Alagoas ,-9.1733,-37.5199
57780-000,Capela,Alagoas ,-9.3934,-36.1239
57535-000,Carneiros,Alagoas ,-9.4647,-37.3556
57760-000,Chã Preta,Alagoas ,-9.2292,-36.3305
57325-000,Coité do Nóia,Alagoas ,-9.6262,-36.6004
57975-000,Colônia Leopoldina,Alagoas ,-8.8921,-35.7423
57140-000,Coqueiro Seco,Alagoas ,-9.6466,-35.8094
57230-000,Coruripe,Alagoas ,-10.0745,-36.1996
57320-000,Craíbas,Alagoas ,-9.6011,-36.8027
57480-000,Delmiro Gouveia,Alagoas ,-9.4445,-38.0248
