Postal Code,Place Name,State,State Abbreviation,County,City,Latitude,Longitude
5000,Aarau,Kanton Aargau,AG,Bezirk Aarau,Aarau,47.389,8.0487
5001,Aarau,Kanton Aargau,AG,Bezirk Aarau,Aarau,47.3922,8.0497
5004,Aarau,Kanton Aargau,AG,Bezirk Aarau,Aarau,47.4005,8.0606
5017,Barmelweid,Kanton Aargau,AG,Bezirk Aarau,Erlinsbach (AG),47.4216,7.97
5018,Erlinsbach,Kanton Aargau,AG,Bezirk Aarau,Erlinsbach (AG),47.4126,8.0089
5022,Rombach,Kanton Aargau,AG,Bezirk Aarau,Küttigen,47.4057,8.0466
5023,Biberstein,Kanton Aargau,AG,Bezirk Aarau,Biberstein,47.4195,8.0827
5024,Küttigen,Kanton Aargau,AG,Bezirk Aarau,Küttigen,47.4204,8.0461
5025,Asp,Kanton Aargau,AG,Bezirk Aarau,Densbüren,47.4418,8.0539
5026,Densbüren,Kanton Aargau,AG,Bezirk Aarau,Densbüren,47.4555,8.0572
5032,Aarau Rohr,Kanton Aargau,AG,Bezirk Aarau,Aarau,47.4045,8.0807
5033,Buchs AG,Kanton Aargau,AG,Bezirk Aarau,Buchs (AG),47.3931,8.0756
5034,Suhr,Kanton Aargau,AG,Bezirk Aarau,Suhr,47.3747,8.0859
5035,Unterentfelden,Kanton Aargau,AG,Bezirk Aarau,Unterentfelden,47.3686,8.0412
5036,Oberentfelden,Kanton Aargau,AG,Bezirk Aarau,Oberentfelden,47.3541,8.0396
5037,Muhen,Kanton Aargau,AG,Bezirk Aarau,Muhen,47.3341,8.0632
5042,Hirschthal,Kanton Aargau,AG,Bezirk Aarau,Hirschthal,47.3175,8.0678
5722,Gränichen,Kanton Aargau,AG,Bezirk Aarau,Gränichen,47.3543,8.1057
5300,Turgi,Kanton Aargau,AG,Bezirk Baden,Turgi,47.4934,8.2525
5301,Siggenthal Station,Kanton Aargau,AG,Bezirk Baden,Untersiggenthal,47.5149,8.2398
5303,Würenlingen,Kanton Aargau,AG,Bezirk Baden,Würenlingen,47.531,8.2477
5400,Baden,Kanton Aargau,AG,Bezirk Baden,Baden,47.4716,8.2925
5401,Baden,Kanton Aargau,AG,Bezirk Baden,Baden,47.4667,8.3
5402,Baden,Kanton Aargau,AG,Bezirk Baden,Baden,47.4667,8.3
5404,Baden,Kanton Aargau,AG,Bezirk Baden,Baden,47.4541,8.2782
5405,Dättwil AG,Kanton Aargau,AG,Bezirk Baden,Baden,47.4545,8.2843
5406,Rütihof,Kanton Aargau,AG,Bezirk Baden,Baden,47.4383,8.2658
5408,Ennetbaden,Kanton Aargau,AG,Bezirk Baden,Ennetbaden,47.4798,8.3277
5412,Gebenstorf,Kanton Aargau,AG,Bezirk Baden,Gebenstorf,47.48,8.244
5413,Birmenstorf AG,Kanton Aargau,AG,Bezirk Baden,Birmenstorf (AG),47.4517,8.2668
5415,Nussbaumen AG,Kanton Aargau,AG,Bezirk Baden,Obersiggenthal,47.4954,8.2956
5416,Kirchdorf AG,Kanton Aargau,AG,Bezirk Baden,Obersiggenthal,47.4995,8.2798
5417,Untersiggenthal,Kanton Aargau,AG,Bezirk Baden,Untersiggenthal,47.5038,8.2562
5420,Ehrendingen,Kanton Aargau,AG,Bezirk Baden,Ehrendingen,47.4956,8.3446
5423,Freienwil,Kanton Aargau,AG,Bezirk Baden,Freienwil,47.4984,8.3205
5430,Wettingen,Kanton Aargau,AG,Bezirk Baden,Wettingen,47.4629,8.3321
5431,Wettingen Sonderdienste,Kanton Aargau,AG,Bezirk Baden,Wettingen,47.4556,8.3333
5432,Neuenhof,Kanton Aargau,AG,Bezirk Baden,Neuenhof,47.4446,8.3253
5436,Würenlos,Kanton Aargau,AG,Bezirk Baden,Würenlos,47.4474,8.3622
5442,Fislisbach,Kanton Aargau,AG,Bezirk Baden,Fislisbach,47.4364,8.2906
5443,Niederrohrdorf,Kanton Aargau,AG,Bezirk Baden,Niederrohrdorf,47.4228,8.3019
5444,Künten,Kanton Aargau,AG,Bezirk Baden,Künten,47.3891,8.3264
5452,Oberrohrdorf,Kanton Aargau,AG,Bezirk Baden,Oberrohrdorf,47.4239,8.3228
5453,Remetschwil,Kanton Aargau,AG,Bezirk Baden,Remetschwil,47.4073,8.3351
5454,Bellikon,Kanton Aargau,AG,Bezirk Baden,Bellikon,47.3919,8.3483
5506,Mägenwil,Kanton Aargau,AG,Bezirk Baden,Mägenwil,47.4138,8.2335
5507,Mellingen,Kanton Aargau,AG,Bezirk Baden,Mellingen,47.4205,8.2727
5512,Wohlenschwil,Kanton Aargau,AG,Bezirk Baden,Wohlenschwil,47.4182,8.2529
5608,Stetten AG,Kanton Aargau,AG,Bezirk Baden,Stetten (AG),47.4036,8.3023
8109,Kloster Fahr,Kanton Aargau,AG,Bezirk Baden,Würenlos,47.4083,8.4391
8956,Killwangen,Kanton Aargau,AG,Bezirk Baden,Killwangen,47.4275,8.3409
8957,Spreitenbach,Kanton Aargau,AG,Bezirk Baden,Spreitenbach,47.4174,8.3666
8962,Bergdietikon,Kanton Aargau,AG,Bezirk Baden,Bergdietikon,47.3885,8.3793
5445,Eggenwil,Kanton Aargau,AG,Bezirk Bremgarten,Eggenwil,47.3711,8.338
5522,Tägerig,Kanton Aargau,AG,Bezirk Bremgarten,Tägerig,47.3976,8.2789
5524,Nesselnbach,Kanton Aargau,AG,Bezirk Bremgarten,Niederwil (AG),47.3929,8.2943
5525,Fischbach-Göslikon,Kanton Aargau,AG,Bezirk Bremgarten,Fischbach-Göslikon,47.3687,8.3121
5605,Dottikon,Kanton Aargau,AG,Bezirk Bremgarten,Dottikon,47.3747,8.2454
5607,Hägglingen,Kanton Aargau,AG,Bezirk Bremgarten,Hägglingen,47.3908,8.2569
5610,Wohlen AG,Kanton Aargau,AG,Bezirk Bremgarten,Wohlen (AG),47.3507,8.2859
5611,Anglikon,Kanton Aargau,AG,Bezirk Bremgarten,Wohlen (AG),47.3651,8.2618
5612,Villmergen,Kanton Aargau,AG,Bezirk Bremgarten,Villmergen,47.3479,8.2387
5613,Hilfikon,Kanton Aargau,AG,Bezirk Bremgarten,Villmergen,47.3308,8.2436
5614,Sarmenstorf,Kanton Aargau,AG,Bezirk Bremgarten,Sarmenstorf,47.3112,8.2509
5619,Uezwil,Kanton Aargau,AG,Bezirk Bremgarten,Uezwil,47.3148,8.2772
5620,Bremgarten AG,Kanton Aargau,AG,Bezirk Bremgarten,Bremgarten (AG),47.355,8.3294
5621,Zufikon,Kanton Aargau,AG,Bezirk Bremgarten,Zufikon,47.3471,8.3566
5626,Hermetschwil-Staffeln,Kanton Aargau,AG,Bezirk Bremgarten,Hermetschwil-Staffeln,47.3299,8.3468
8905,Arni AG,Kanton Aargau,AG,Bezirk Bremgarten,Arni (AG),47.3154,8.4196
8916,Jonen,Kanton Aargau,AG,Bezirk Bremgarten,Jonen,47.2997,8.4008
8917,Oberlunkhofen,Kanton Aargau,AG,Bezirk Bremgarten,Oberlunkhofen,47.3132,8.4001
8918,Unterlunkhofen,Kanton Aargau,AG,Bezirk Bremgarten,Unterlunkhofen,47.3226,8.3916
8964,Rudolfstetten,Kanton Aargau,AG,Bezirk Bremgarten,Rudolfstetten-Friedlisberg,47.3683,8.3878
8965,Berikon,Kanton Aargau,AG,Bezirk Bremgarten,Berikon,47.3531,8.3869
8966,Oberwil-Lieli,Kanton Aargau,AG,Bezirk Bremgarten,Oberwil-Lieli,47.3398,8.3915
8967,Widen,Kanton Aargau,AG,Bezirk Bremgarten,Widen,47.3693,8.3568
5076,Bözen,Kanton Aargau,AG,Bezirk Brugg,Bözen,47.4957,8.0891
5077,Elfingen,Kanton Aargau,AG,Bezirk Brugg,Elfingen,47.5101,8.1026
5078,Effingen,Kanton Aargau,AG,Bezirk Brugg,Effingen,47.4934,8.1127
5105,Auenstein,Kanton Aargau,AG,Bezirk Brugg,Auenstein,47.4186,8.1306
5106,Veltheim AG,Kanton Aargau,AG,Bezirk Brugg,Veltheim (AG),47.4323,8.1469
5107,Schinznach Dorf,Kanton Aargau,AG,Bezirk Brugg,Schinznach-Dorf,47.455,8.1326
5108,Oberflachs,Kanton Aargau,AG,Bezirk Brugg,Oberflachs,47.4376,8.1233
5112,Thalheim AG,Kanton Aargau,AG,Bezirk Brugg,Thalheim (AG),47.4408,8.0907
5116,Schinznach Bad,Kanton Aargau,AG,Bezirk Brugg,Schinznach-Bad,47.4536,8.1698
5200,Brugg AG,Kanton Aargau,AG,Bezirk Brugg,Brugg,47.4828,8.2037
5201,Brugg AG,Kanton Aargau,AG,Bezirk Brugg,Brugg,47.4905,8.1857
5210,Windisch,Kanton Aargau,AG,Bezirk Brugg,Windisch,47.4764,8.2202
5212,Hausen AG,Kanton Aargau,AG,Bezirk Brugg,Hausen (AG),47.4628,8.2083
5213,Villnachern,Kanton Aargau,AG,Bezirk Brugg,Villnachern,47.4707,8.1575
5222,Umiken,Kanton Aargau,AG,Bezirk Brugg,Brugg,47.4808,8.1851
5223,Riniken,Kanton Aargau,AG,Bezirk Brugg,Riniken,47.4947,8.1863
