Postal Code,Place Name,District,District Code,Latitude,Longitude
100 00,Praha 10-Strašnice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Praha 10-Malešice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Praha 10-Žižkov (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Vinohrady (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Strašnice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Praha 10-Vršovice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Malešice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Praha 10-Vinohrady (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Vršovice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
100 00,Žižkov (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Vinohrady (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Záb?hlice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Praha 10-Záb?hlice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Praha 10-Vršovice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Michle (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Praha 10-Vinohrady (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Praha 10-Michle (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
101 00,Vršovice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
102 00,Praha 10-Hostiva? (?ást) x),Hlavní m?sto Praha,3100,50.0667,14.55
102 00,Št?rboholy,Hlavní m?sto Praha,3100,50.0667,14.55
102 00,Hostiva? (?ást),Hlavní m?sto Praha,3100,50.0667,14.55
102 00,Praha 10-Št?rboholy x),Hlavní m?sto Praha,3100,50.0667,14.55
103 00,Nedv?zí,Hlavní m?sto Praha,3100,50.0167,14.65
103 00,Kolovraty,Hlavní m?sto Praha,3100,50.0167,14.6333
103 00,Praha 10-Kolovraty x),Hlavní m?sto Praha,3100,50.0125,14.625
103 00,Lipany,Hlavní m?sto Praha,3100,50,14.6167
103 00,Praha 10-Lipany x),Hlavní m?sto Praha,3100,50.0125,14.625
103 00,Benice,Hlavní m?sto Praha,3100,50.0167,14.6
103 00,Praha 10-Benice x),Hlavní m?sto Praha,3100,50.0125,14.625
103 00,Praha 10-Nedv?zí x),Hlavní m?sto Praha,3100,50.0125,14.625
104 00,K?eslice,Hlavní m?sto Praha,3100,50.0333,14.5667
104 00,Hájek,Hlavní m?sto Praha,3100,50.05,14.6333
104 00,Královice,Hlavní m?sto Praha,3100,50.0333,14.6333
104 00,Praha 10-Královice x),Hlavní m?sto Praha,3100,50.0333,14.6033
104 00,Praha 10-Uh?ín?ves x),Hlavní m?sto Praha,3100,50.0333,14.6033
104 00,Praha 10-K?eslice x),Hlavní m?sto Praha,3100,50.0333,14.6033
104 00,Uh?ín?ves,Hlavní m?sto Praha,3100,50.0333,14.6
104 00,Praha 10-Pitkovice x),Hlavní m?sto Praha,3100,50.0333,14.6033
104 00,Praha 10-Hájek x),Hlavní m?sto Praha,3100,50.0333,14.6033
104 00,Pitkovice,Hlavní m?sto Praha,3100,50.0167,14.5833
106 00,Praha 10-Záb?hlice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
106 00,Záb?hlice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
107 00,Dube?,Hlavní m?sto Praha,3100,49.6333,12.7167
107 00,Praha 10-Dube? x),Hlavní m?sto Praha,3100,49.6333,12.7167
108 00,Malešice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
108 00,Praha 10-Strašnice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
108 00,Hrdlo?ezy (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
108 00,Praha 9-Hrdlo?ezy (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
108 00,Strašnice (?ást),Hlavní m?sto Praha,3100,50.0036,14.4619
108 00,Praha 10-Malešice (?ást) x),Hlavní m?sto Praha,3100,50.0036,14.4619
109 00,Horní M?cholupy,Hlavní m?sto Praha,3100,50.05,14.5667
109 00,Petrovice,Hlavní m?sto Praha,3100,50.0333,14.55
109 00,Dolní M?cholupy,Hlavní m?sto Praha,3100,50.05,14.5667
109 00,Praha 10-Petrovice x),Hlavní m?sto Praha,3100,50.0444,14.5611
109 00,Praha 10-Dolní M?cholupy x),Hlavní m?sto Praha,3100,50.0444,14.5611
109 00,Praha 10-Horní M?cholupy x),Hlavní m?sto Praha,3100,50.0444,14.5611
110 00,Josefov,Hlavní m?sto Praha,3100,50.3333,15.9167
110 00,Staré M?sto,Hlavní m?sto Praha,3100,50.4,16.1667
110 00,Praha 1-Nové M?sto (?ást) x),Hlavní m?sto Praha,3100,50.3667,16.0417
110 00,Nové M?sto (?ást),Hlavní m?sto Praha,3100,50.3667,16.0417
110 00,Praha 1-Staré M?sto x),Hlavní m?sto Praha,3100,50.3667,16.0417
110 00,Praha 1-Vinohrady (?ást) x),Hlavní m?sto Praha,3100,50.3667,16.0417
110 00,Praha 1-Josefov x),Hlavní m?sto Praha,3100,50.3667,16.0417
110 00,Vinohrady (?ást),Hlavní m?sto Praha,3100,50.3667,16.0417
118 00,Praha 1-Malá Strana (?ást) x),Hlavní m?sto Praha,3100,50.3667,16.0417
118 00,Malá Strana (?ást),Hlavní m?sto Praha,3100,50.3667,16.0417
118 00,Praha 1-Hrad?any (?ást) x),Hlavní m?sto Praha,3100,50.3667,16.0417
118 00,Praha 1-Holešovice (?ást) x),Hlavní m?sto Praha,3100,50.3667,16.0417
118 00,Hrad?any (?ást),Hlavní m?sto Praha,3100,50.3667,16.0417
118 00,Holešovice (?ást),Hlavní m?sto Praha,3100,50.3667,16.0417
119 00,Praha 1-Hrad?any (?ást) x),Hlavní m?sto Praha,3100,50.3667,16.0417
119 00,Hrad?any (?ást),Hlavní m?sto Praha,3100,50.3667,16.0417
120 00,Nové M?sto (?ást),Hlavní m?sto Praha,3100,,
120 00,Praha 2-Nové M?sto (?ást) x),Hlavní m?sto Praha,3100,,
120 00,Praha 2-Vinohrady (?ást) x),Hlavní m?sto Praha,3100,,
120 00,Vinohrady (?ást),Hlavní m?sto Praha,3100,,
128 00,Vyšehrad,Hlavní m?sto Praha,3100,,
128 00,Praha 2-Nové M?sto (?ást) x),Hlavní m?sto Praha,3100,,
128 00,Nové M?sto (?ást),Hlavní m?sto Praha,3100,,
128 00,Praha 2-Nusle (?ást) x),Hlavní m?sto Praha,3100,,
128 00,Nusle (?ást),Hlavní m?sto Praha,3100,,
128 00,Praha 2-Vyšehrad x),Hlavní m?sto Praha,3100,,
130 00,Praha 3-Vyso?any (?ást) x),Hlavní m?sto Praha,3100,,
130 00,Malešice (?ást),Hlavní m?sto Praha,3100,,
130 00,Vyso?any (?ást),Hlavní m?sto Praha,3100,,
130 00,Strašnice (?ást),Hlavní m?sto Praha,3100,,
130 00,Praha 3-Žižkov (?ást) x),Hlavní m?sto Praha,3100,,
130 00,Vinohrady (?ást),Hlavní m?sto Praha,3100,,
130 00,Praha 3-Vinohrady (?ást) x),Hlavní m?sto Praha,3100,,
130 00,Žižkov (?ást),Hlavní m?sto Praha,3100,,
130 00,Praha 3-Strašnice (?ást) x),Hlavní m?sto Praha,3100,,
130 00,Praha 10-Malešice (?ást) x),Hlavní m?sto Praha,3100,,
140 00,Kr? (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Vinohrady (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Praha 4-Podolí (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Michle (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Nusle (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Praha 4-Vinohrady (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Praha 4-Kr? (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Praha 4-Nusle (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Podolí (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
140 00,Praha 4-Michle (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
141 00,Záb?hlice (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
141 00,Praha 4-Záb?hlice (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
141 00,Praha 4-Michle (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
141 00,Chodov (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
141 00,Praha 4-Chodov (?ást) x),Hlavní m?sto Praha,3100,50.0712,14.2758
141 00,Michle (?ást),Hlavní m?sto Praha,3100,50.0712,14.2758
142 00,Písnice,Hlavní m?sto Praha,3100,49.9833,14.4667
142 00,Mod?any (?ást),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Libuš,Hlavní m?sto Praha,3100,50.0167,14.4667
142 00,Praha 4-Libuš x),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Lhotka,Hlavní m?sto Praha,3100,49.9,14.2
142 00,Praha 4-Písnice x),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Kr? (?ást),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Praha 4-Kr? (?ást) x),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Praha 4-Lhotka x),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Braník (?ást),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Kamýk (?ást),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Praha 4-Mod?any (?ást) x),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Praha 4-Kamýk (?ást) x),Hlavní m?sto Praha,3100,49.9667,14.3778
142 00,Praha 4-Braník (?ást) x),Hlavní m?sto Praha,3100,49.9667,14.3778
143 00,Komo?any,Hlavní m?sto Praha,3100,50.5333,13.5667
143 00,To?ná,Hlavní m?sto Praha,3100,49.9667,14.4333
143 00,Cholupice,Hlavní m?sto Praha,3100,49.9833,14.45
