Postal Code,Place Name,Latitude,Longitude
10101,Centro de Los Heroes ,18.6881,-69.9905
10102,Mata Hambre ,18.45,-69.9333
10103,Zona Universitaria ,18.6881,-69.9905
10104,San Geronimo ,18.7667,-69.4667
10105,Ciudad Universitaria ,18.6881,-69.9905
10106,Los Robles ,19.4333,-70.4
10107,Esperilla ,18.45,-70.0833
10108,Esperilla ,18.45,-70.0833
10109,La Julia ,18.4667,-69.9333
10110,El Embajador ,18.45,-69.9333
10111,Bella Vista ,18.45,-69.9333
10112,Bella Vista ,18.45,-69.9333
10113,Sarasota ,18.45,-69.9333
10114,Mirador Norte ,18.45,-69.9333
10115,Rocamar ,18.45,-69.9333
10116,Ciudad Gandera ,18.45,-69.9333
10117,Hoduras ,18.45,-69.9333
10118,Antillas ,18.45,-69.9333
10119,Naco ,18.45,-69.9333
10120,La Yuca ,18.4833,-69.9833
10121,Arboleda (Naco) ,18.4667,-69.7833
10122,Centro Olimpico ,18.4667,-69.7833
10123,Naco ,18.4667,-69.7833
10124,Naco ,18.4667,-69.7833
10125,Lopez de Vega ,18.4667,-69.7833
10126,Paraiso ,18.45,-69.4167
10127,Piantini ,18.4667,-69.95
10128,Carmelita ,18.4667,-69.7833
10129,Urbanizacion Fernandez ,18.4667,-69.7833
10130,Julieta Morales ,18.55,-69.8125
10131,Los Prados ,18.4667,-69.95
10132,Los Prados ,18.4667,-69.95
10133,Castellana ,18.55,-69.8125
10134,San Geronimo ,18.7667,-69.4667
10135,Ciudad Moderna ,18.55,-69.8125
10136,Residencial Rosmil ,18.55,-69.8125
10137,Los Restauradores ,18.55,-69.8125
10138,Manganagua ,18.5,-69.8833
10139,Los Millones ,18.55,-69.8125
10140,Los Millones ,18.4556,-69.95
10141,Los Millones ,18.4556,-69.95
10142,Los Millones ,18.4556,-69.95
10143,Estela Marina ( Los Millones). ,18.4556,-69.95
10144,Los Millones ,18.4556,-69.95
10145,Ensanche Quisqueya ,18.45,-69.95
10146,Ensanche Quisqueya ,18.45,-69.95
10147,Evaristo Morales ,18.4556,-69.95
10148,Piantini ,18.4667,-69.95
10149,El Millon ,18.4556,-69.95
10150,Piantini ,18.4667,-69.95
10201,Don Bosco ,18.4667,-69.9
10202,Don Bosco ,18.4667,-69.9
10203,Miraflores ,18.4667,-69.9
10204,Gazcue ( Plaza de La Cultura ) ,18.4667,-69.9
10205,Gazcue ,18.4667,-69.9
10206,Ensanche Independencia ,18.4667,-69.9
10207,La Primavera ,18.4667,-69.9
10208,Ciudad Nueva ,18.4667,-69.9
10209,Ensanche Lugo ,18.4667,-69.9
10210,Zona Colonial ,18.5917,-69.8944
10211,San Lazaro ,18.5917,-69.8944
10212,San Miguel ,18.5,-70.0167
10213,Borojol ,19.15,-69.75
10214,Villa Francisca ,18.4667,-69.9
10215,Villa Francisca ,18.4667,-69.9
10216,San Carlos ,18.4833,-69.9
10217,San Carlos ,18.4833,-69.9
10218,Reparto Aguedita ( Gazcue) ,18.5917,-69.8944
10301,Mejoramiento Social ,18.5985,-70.0136
10302,Maria Auxiliadora ,18.5,-69.8833
10303,La Cienaga ,18.6167,-70.2333
10304,Domingo Savio ,19.2833,-71.4
10305,Maria Auxiliadora ,18.5,-69.8833
10306,Mejoramiento Social ,18.5985,-70.0136
10307,Villa Maria ,18.4833,-69.9
10308,Villa Consuelo ,18.4833,-69.9
10309,Villa Consuelo ,18.4833,-69.9
10401,Ensanche Luperon ,18.5,-69.9
10402,Ensanche Espaillat ,18.5,-69.8833
10403,Gualey ,18.5,-69.9167
10404,24 de Abril ,18.5,-69.9167
10405,Simon Bolivar ,18.5,-69.9
10406,Ensanche Luperon ,18.5,-69.9
10407,Capotillo ,18.5,-69.9
10408,La Zurza ,18.5,-70.0167
10409,Villas Agricolas ,18.5,-69.9167
10410,La Caridad ,18.5,-69.9
10411,El Ensanchito ,18.4833,-69.9
10412,Villa Juana ,18.4917,-69.9
10413,Villa Juana ,18.4917,-69.9
10501,Cristo Rey ,18.5,-69.9333
10502,Yaquito ,19.1944,-70.3889
10503,La Isabela ,18.6667,-70.15
10504,Isabel Villas ,18.7218,-70.2474
10505,Manzano ,18.5167,-69.9667
10506,Altos de Arroyo Hondo II ,18.7218,-70.2474
10507,La Puya ,18.8167,-70.05
10508,La Aldaba ,18.65,-70.3083
10509,La Agustinita ,18.7218,-70.2474
10510,Los Caminos ,18.4917,-69.9292
10511,La Fe ,18.4833,-69.9333
10512,La Fe ,18.4833,-69.9333
10513,Ens. Kennedy ,18.4917,-69.9292
10514,Cachiman ,18.4917,-69.9292
10515,Barrio Obrero ,18.5,-69.9167
10516,Lanna Gautier ,18.5,-69.9333
10601,Constelacion ,18.58,-70.6767
10602,Los Jardines del Norte ,18.58,-70.6767
10603,Las Villas ,18.58,-70.6767
10604,La Esperanza ,18.6,-70.5
10605,Altos de Arroyo Hdo. III ,18.58,-70.6767
10606,Residencial La Yuca ,18.58,-70.6767
10607,Los Guayabos ,18.6,-70.5167
10608,Las Colinas ,18.4,-70.3333
10701,La Redencion ,18.5917,-70.075
10702,Los Girasoles ,19.15,-70.2833
10801,Barrio La Fe ,19.5667,-71.7167
