Postal Code,Place Name,Latitude,Longitude
100,Tórshavn,62.0167,-6.7667
110,Tórshavn,62.0167,-6.7667
160,Argir,61.9833,-6.75
165,Argir,61.9833,-6.75
175,Kirkjubøur,61.95,-6.7833
176,Velbastadur,61.9833,-6.8333
177,"Sydradalur, Streymoy",62.0167,-6.9
178,Nordradalur,62.0333,-6.9167
180,Kaldbak,62.05,-6.8167
185,Kaldbaksbotnur,62.046,-6.7995
186,Sund,62.05,-6.8333
187,Hvitanes,62.05,-6.7667
188,Hoyvik,62.0341,-6.7813
210,Sandur,61.8425,-6.8078
215,Sandur,61.8425,-6.8078
220,Skálavik,61.8333,-6.65
230,Húsavik,61.8,-6.6667
235,Dalur,61.7833,-6.6667
236,Skarvanes,61.8,-6.7333
240,Skopun,61.9,-6.8667
260,Skúvoy,61.7667,-6.8
270,Nólsoy,62.0167,-6.6667
280,Hestur,61.95,-6.8667
285,Koltur,61.9833,-6.95
286,Stóra Dimun,61.9667,-6.9083
330,Stykkid,62.1167,-7.0333
335,Leynar,62.1167,-7.0333
336,Skællingur,62.1167,-7.0333
340,Kvivik,62.1167,-7.0667
350,Vestmanna,62.1564,-7.1664
355,Vestmanna,62.1564,-7.1664
358,Válur,62.1333,-7.1333
360,Sandavágur,62.05,-7.1333
370,Midvágur,62.0511,-7.1939
375,Midvágur,62.0511,-7.1939
380,Sørvágur,62.0973,-7.3577
385,Vatnsoyrar,62.0667,-7.2333
386,Bøur,62.0833,-7.35
387,Gásadalur,62.1167,-7.4333
388,Mykines,62.1,-7.6333
400,Oyrarbakki,62.2,-6.9833
405,Oyrarbakki,62.2,-6.9833
410,Kollafjørdur,62.1167,-6.9
415,Oyrareingir,62.1,-6.95
416,Signabøur,62.1,-6.9
420,Hósvik,62.15,-6.9333
430,Hvalvik,62.1833,-7.0167
435,Streymnes,62.2,-7.0167
436,Saksun,62.25,-7.1667
437,Nesvik,62.2167,-7.0167
438,Langasandur,62.2333,-7.0333
440,Haldarsvik,62.2833,-7.0833
445,Tjørnuvik,62.2833,-7.1333
450,Oyri,62.1833,-6.9667
460,Nordskáli,62.2167,-7
465,Svináir,62.2333,-7.0167
466,Ljósá,62.2667,-7.05
470,Eidi,62.3,-7.0833
475,Funningur,62.2833,-6.95
476,Gjógv,62.3167,-6.9333
477,Funningsfjørdur,62.2333,-6.9167
478,Elduvik,62.2833,-6.9
480,Skáli,62.15,-6.7667
485,Skálafjørdur,62.2,-6.85
490,Strendur,62.1167,-6.75
494,Innan Glyvur,62.1333,-6.75
495,Kolbanargjógv,62.1,-6.7833
496,Morskranes,62.1333,-6.8333
497,Selatrad,62.15,-6.85
510,Gøta,62.2,-6.7333
511,Gøtugjógv,62.1833,-6.7333
512,Nordragøta,62.2007,-6.7419
513,Sydrugøta,62.1833,-6.7333
515,Gøta,62.2,-6.7333
520,Leirvik,62.2167,-6.6833
530,Fuglafjørdur,62.244,-6.8139
535,Fuglafjørdur,62.244,-6.8139
600,Saltangará,62.1167,-6.7167
610,Saltangará,62.1167,-6.7167
620,Runavik,62.1167,-6.7167
625,Glyvrar,62.1333,-6.7167
626,Lambareidi,62.1333,-6.7167
627,Lambi,62.1333,-6.6833
640,Rituvik,62.1,-6.6667
645,Æduvik,62.0667,-6.6833
650,Toftir,62.1,-6.7333
655,"Nes, Eysturoy",62.0833,-6.7167
656,Saltnes,62.1,-6.7333
660,Søldarfjørdur,62.15,-6.7333
665,Skipanes,62.1667,-6.75
666,Gøtueidi,62.1833,-6.7667
690,Oyndarfjørdur,62.2833,-6.8333
695,Hellur,62.2667,-6.8333
700,Klaksvik,62.2265,-6.589
710,Klaksvík,62.2265,-6.589
725,Nordoyri,62.2167,-6.5333
726,Ánir,62.25,-6.5667
727,Árnafjørdur,62.25,-6.5167
730,Norddepil,62.3,-6.5167
735,Depil,62.2833,-6.5167
736,Nordtoftir,62.2667,-6.5
737,Múli,62.35,-6.5667
740,Hvannasund,62.3,-6.5
750,Vidareidi,62.3667,-6.5333
765,Svinoy,62.2833,-6.3333
766,Kirkja,62.3167,-6.3
767,Hattarvik,62.3333,-6.25
780,Kunoy,62.2833,-6.6667
785,Haraldssund,62.2667,-6.6
795,"Sydradalur, Kalsoy",62.3222,-6.7389
796,Húsar,62.2667,-6.6833
797,Mikladalur,62.3333,-6.75
798,Trøllanes,62.3667,-6.7833
800,Tvøroyri,61.5556,-6.8111
810,Tvøroyri,61.5556,-6.8111
825,Frodba,61.55,-6.7667
826,Trongisvágur,61.5667,-6.8333
827,Øravik,61.5333,-6.8
850,Hvalba,61.6,-6.95
860,Sandvik,61.6333,-6.9167
870,Fámjin,61.5167,-6.8667
900,Vágur,61.4732,-6.8118
910,Vágur,61.4732,-6.8118
925,"Nes, Vágur",61.4389,-6.7444
926,Lopra,61.4333,-6.7667
927,Akrar,61.45,-6.75
928,Vikarbyrgi,61.4333,-6.7167
950,Porkeri,61.4833,-6.7333
960,Hov,61.5167,-6.7333
970,Sumba,61.4,-6.7
