Postal Code,Place Name,State,Latitude,Longitude
96910,Hagatna,Gu,13.4443,144.7863
96911,Tamuning,Gu,13.4443,144.7863
96912,Dededo,Gu,13.4443,144.7863
96913,Barrigada,Gu,13.4443,144.7863
96914,Yona,Gu,13.4443,144.7863
96915,Santa Rita,Gu,13.4443,144.7863
96916,Merizo,Gu,13.4443,144.7863
96917,Inarajan,Gu,13.4443,144.7863
96918,Umatac,Gu,13.4443,144.7863
96919,Agana Heights,Gu,13.4443,144.7863
96921,Barrigada,Gu,13.4443,144.7863
96922,Asan,Gu,13.4443,144.7863
96923,Mangilao,Gu,13.4443,144.7863
96925,Piti,Gu,13.4443,144.7863
96926,Sinajana,Gu,13.4443,144.7863
96927,Mongmong,Gu,13.4443,144.7863
96928,Agat,Gu,13.4443,144.7863
96929,Yigo,Gu,13.4443,144.7863
96930,Talofofo,Gu,13.4443,144.7863
96931,Tamuning,Gu,13.4443,144.7863
96932,Hagatna,Gu,13.4443,144.7863
