Postal Code,Place Name,State,City,Latitude,Longitude
10000,Sljeme,Zagreba?ka,Zagreb,45.7333,15.9667
10010,Zagreb-dio,Zagreba?ka,Zagreb-Sloboština,45.75,16
10020,Strmec,Zagreba?ka,Zagreb-Novi Zagreb,45.7,15.9167
10040,Zagreb-dio,Zagreba?ka,Zagreb-Dubrava,45.7333,15.9667
10090,Zagreb-dio,Zagreba?ka,Zagreb-Susedgrad,45.7333,15.9667
10110,Zagreb-Trešnjevka,Zagreba?ka,Zagreb,45.7769,16.068
10250,Lu?ko,Zagreba?ka,Lu?ko,45.7611,15.8703
10251,Demerje,Zagreba?ka,Hrvatski Leskovac,45.7419,15.9075
10253,Gudci,Zagreba?ka,Donji Dragonožec,45.6569,15.9886
10255,Obrež Stupni?ki,Zagreba?ka,Gornji Stupnik,45.7167,15.9333
10257,Zadvorsko,Zagreba?ka,Brezovica,45.7333,15.9167
10290,Šibice,Zagreba?ka,Zapreši?,45.8517,15.8196
10291,Savski Marof,Zagreba?ka,Prigorje Brdove?ko,45.8642,15.7219
10292,Gornji Ladu?,Zagreba?ka,Šenkovec,45.8833,15.7333
10293,Rozga,Zagreba?ka,Dubravica,45.95,15.7278
10294,Pojatno,Zagreba?ka,Donja Puš?a,45.905,15.8006
10295,Kupljenovo,Zagreba?ka,Kupljenovo,45.9333,15.8167
10296,Žejinci,Zagreba?ka,Luka,45.9667,15.8167
10297,Jakovlje,Zagreba?ka,Jakovlje,45.9514,15.8561
10298,Poljanica Bistranska,Zagreba?ka,Donja Bistra,45.9,15.8833
10299,Hrastina Brdove?ka,Zagreba?ka,Marija Gorica,45.9167,15.7333
10310,Tarno,Zagreba?ka,Ivani?-Grad,45.7333,16.3667
10311,Topolje,Zagreba?ka,Posavski Bregi,45.6508,16.3503
10312,Predavec,Zagreba?ka,Kloštar Ivani?,45.75,16.4333
10313,Derežani,Zagreba?ka,Graberje Ivani?ko,45.7,16.4667
10314,Johovec,Zagreba?ka,Križ,45.6667,16.4833
10315,Re?ica Kriška,Zagreba?ka,Novoselec,45.6617,16.5808
10316,Prerovec,Zagreba?ka,Lijevi Dubrov?ak,45.6447,16.3033
10340,Hruškovica,Zagreba?ka,Vrbovec,45.9333,16.4167
10341,Pirakovec,Zagreba?ka,Lonjica,45.8833,16.3667
10342,Svinjarec,Zagreba?ka,Dubrava,45.8,16.5667
10343,Stara Kapela,Zagreba?ka,Nova Kapela,45.2364,17.6878
10344,Majur,Zagreba?ka,Farkaševac,45.9167,16.7
10345,Cugovec,Zagreba?ka,Gradec,45.9117,16.5189
10346,Strmec,Zagreba?ka,Preseka,45.9667,15.9167
10347,Valeti?,Zagreba?ka,Rakovec,45.9667,16.3333
10360,Dobrodol,Zagreba?ka,Sesvete,45.85,16.1
10361,Cerje,Zagreba?ka,Sesvete-Kraljevec,45.8333,16.2
10362,Vurnovec,Zagreba?ka,Kašina,45.9091,16.095
10363,Lužan,Zagreba?ka,Belovar,45.8833,16.2
10370,Tedrovec,Zagreba?ka,Dugo Selo,45.75,16.3667
10372,Pre?no,Zagreba?ka,Oborovo,45.665,16.2961
10373,Hruš?ica,Zagreba?ka,Ivanja Reka,45.7833,16.15
