Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
7184,Lengyel,Baranya,BA,46.3786,18.4357
7300,Komló,Baranya,BA,46.2,18.2667
7301,Mecsekpölöske,Baranya,BA,46.2167,18.2167
7302,Mecsekpölöske,Baranya,BA,46.2167,18.2167
7303,Mecsekpölöske,Baranya,BA,46.2167,18.2167
7304,Mánfa,Baranya,BA,46.1667,18.25
7305,Mánfa,Baranya,BA,46.1667,18.25
7306,Mánfa,Baranya,BA,46.1667,18.25
7309,Mánfa,Baranya,BA,46.1667,18.25
7331,Liget,Baranya,BA,46.2333,18.2
7332,Magyaregregy,Baranya,BA,46.25,18.3167
7333,Vékény,Baranya,BA,46.2667,18.35
7334,Szalatnak,Baranya,BA,46.2833,18.2833
7342,Mágocs,Baranya,BA,46.35,18.2333
7343,Nagyhajmás,Baranya,BA,46.3278,18.2944
7344,Mekényes,Baranya,BA,46.3833,18.3333
7345,Alsómocsolád,Baranya,BA,46.3167,18.25
7346,Bikal,Baranya,BA,46.3333,18.2833
7347,Egyházaskozár,Baranya,BA,46.3333,18.3167
7348,Tóf?,Baranya,BA,46.3167,18.3667
7349,Szászvár,Baranya,BA,46.2667,18.3667
7351,Máza,Baranya,BA,46.2667,18.4
7362,Vásárosdombó,Baranya,BA,46.3,18.15
7370,Varga,Baranya,BA,46.2333,18.15
7381,Tékes,Baranya,BA,46.2833,18.1667
7383,Szágy,Baranya,BA,46.2333,17.95
7384,Baranyajen?,Baranya,BA,46.2667,18.05
7385,Gödre,Baranya,BA,46.2833,17.9833
7386,Gödre,Baranya,BA,46.2833,17.9833
7391,Kisbeszterce,Baranya,BA,46.2,18.0333
7393,Bakóca,Baranya,BA,46.2167,18
7394,Bodolyabér,Baranya,BA,46.2,18.1167
7396,Magyarszék,Baranya,BA,46.2,18.2
7600,Pécs,Baranya,BA,46.0967,18.2068
7601,Pécs,Baranya,BA,46.0967,18.2068
7602,Pécs,Baranya,BA,46.0967,18.2068
7603,Pécs,Baranya,BA,46.0967,18.2068
7604,Pécs,Baranya,BA,46.0967,18.2068
7605,Pécs,Baranya,BA,46.0967,18.2068
7606,Pécs,Baranya,BA,46.0967,18.2068
7607,Pécs,Baranya,BA,46.0967,18.2068
7608,Pécs,Baranya,BA,46.0967,18.2068
7610,Pécs,Baranya,BA,46.0967,18.2068
7611,Pécs,Baranya,BA,46.0967,18.2068
7612,Pécs,Baranya,BA,46.0967,18.2068
7613,Pécs,Baranya,BA,46.0967,18.2068
7614,Pécs,Baranya,BA,46.0967,18.2068
7615,Pécs,Baranya,BA,46.0967,18.2068
7616,Pécs,Baranya,BA,46.0967,18.2068
7617,Pécs,Baranya,BA,46.0967,18.2068
7618,Pécs,Baranya,BA,46.0967,18.2068
7619,Pécs,Baranya,BA,46.0967,18.2068
7621,Pécs,Baranya,BA,46.0967,18.2068
7622,Pécs,Baranya,BA,46.0967,18.2068
7623,Pécs,Baranya,BA,46.0967,18.2068
7624,Pécs,Baranya,BA,46.0967,18.2068
7625,Pécs,Baranya,BA,46.0967,18.2068
7626,Pécs,Baranya,BA,46.0967,18.2068
7627,Pécs,Baranya,BA,46.0967,18.2068
7628,Pécs,Baranya,BA,46.0967,18.2068
7629,Pécs,Baranya,BA,46.0967,18.2068
7630,Pécs,Baranya,BA,46.0967,18.2068
7631,Pécs,Baranya,BA,46.0967,18.2068
7632,Pécs,Baranya,BA,46.0967,18.2068
7633,Pécs,Baranya,BA,46.0967,18.2068
7634,Pécs,Baranya,BA,46.0967,18.2068
7635,Pécs,Baranya,BA,46.0967,18.2068
7636,Pécs,Baranya,BA,46.0967,18.2068
7639,Pécs,Baranya,BA,46.0967,18.2068
7643,Pécs,Baranya,BA,46.0967,18.2068
7644,Pécs,Baranya,BA,46.0967,18.2068
7645,Pécs,Baranya,BA,46.0967,18.2068
7646,Pécs,Baranya,BA,46.0967,18.2068
7647,Pécs,Baranya,BA,46.0967,18.2068
7648,Pécs,Baranya,BA,46.0967,18.2068
7650,Pécs,Baranya,BA,46.0967,18.2068
7661,Szell?,Baranya,BA,46.0667,18.4667
7663,Máriakéménd,Baranya,BA,46.0333,18.4667
7664,Szilágy,Baranya,BA,46.1,18.4167
7666,Pogány,Baranya,BA,45.98,18.26
7668,Keszü,Baranya,BA,46.0167,18.1833
7671,Zók,Baranya,BA,46,18.1
7672,Boda,Baranya,BA,46.0833,18.05
7673,Cserkút,Baranya,BA,46.0667,18.1333
7675,Bakonya,Baranya,BA,46.0833,18.0833
7677,Orf?,Baranya,BA,46.1333,18.15
7678,Abaliget,Baranya,BA,46.15,18.1167
7681,Szentkatalin,Baranya,BA,46.1667,18.05
7682,Bükkösd,Baranya,BA,46.1,17.9833
7683,Helesfa,Baranya,BA,46.0833,17.9833
7691,Dinnyeberki,Baranya,BA,46.0833,17.95
7693,Dinnyeberki,Baranya,BA,46.0833,17.95
7694,Hosszúhetény,Baranya,BA,46.15,18.35
7695,Ófalu,Baranya,BA,46.2167,18.5333
7696,Hidas,Baranya,BA,46.2667,18.5
7700,Mohács,Baranya,BA,45.9931,18.6831
7701,Mohács,Baranya,BA,45.9931,18.6831
7702,Mohács,Baranya,BA,45.9931,18.6831
7711,Bár,Baranya,BA,46.05,18.7167
7712,Dunaszekcs?,Baranya,BA,46.0833,18.7667
7714,Dunaszekcs?,Baranya,BA,46.0833,18.7667
7715,Dunaszekcs?,Baranya,BA,46.0833,18.7667
7716,Homorúd,Baranya,BA,45.9814,18.7922
7717,Kölked,Baranya,BA,45.9503,18.7078
7718,Udvar,Baranya,BA,45.9006,18.6597
7720,Apátvarasd,Baranya,BA,46.1833,18.4833
7723,Erd?smecske,Baranya,BA,46.1833,18.5167
7724,Feked,Baranya,BA,46.1667,18.5667
7725,Szebény,Baranya,BA,46.1333,18.6
7726,Véménd,Baranya,BA,46.15,18.6167
7727,Palotabozsok,Baranya,BA,46.1333,18.65
7728,Görcsönydoboka,Baranya,BA,46.0667,18.6333
7731,Nagypall,Baranya,BA,46.15,18.45
7732,Fazekasboda,Baranya,BA,46.1167,18.4833
7733,Geresdlak,Baranya,BA,46.1,18.5333
7735,Sz?r,Baranya,BA,46.1,18.5833
7737,Székelyszabar,Baranya,BA,46.05,18.6
7741,Bogád,Baranya,BA,46.0833,18.3333
7744,Ellend,Baranya,BA,46.05,18.3833
7745,Olasz,Baranya,BA,46.0167,18.4167
7747,Belvárdgyula,Baranya,BA,45.9722,18.4339
7751,Szederkény,Baranya,BA,45.9969,18.4578
7752,Versend,Baranya,BA,45.9953,18.5114
7753,Szajk,Baranya,BA,45.9906,18.5314
7754,Bóly,Baranya,BA,45.9672,18.5183
7755,Töttös,Baranya,BA,45.9156,18.5422
7756,Borjád,Baranya,BA,45.9339,18.4672
7757,Babarc,Baranya,BA,45.9981,18.5547
7759,Kisnyárád,Baranya,BA,46.0333,18.5667
7761,Kozármisleny,Baranya,BA,46.0333,18.3
7762,Pécsudvard,Baranya,BA,46.0167,18.2833
7763,Szemely,Baranya,BA,46.0167,18.3333
7766,Újpetre,Baranya,BA,45.9367,18.3625
7768,Vokány,Baranya,BA,45.9094,18.3361
7771,Palkonya,Baranya,BA,45.8967,18.3897
7772,Villánykövesd,Baranya,BA,45.8822,18.4253
7773,Villány,Baranya,BA,45.8689,18.4539
7774,Márok,Baranya,BA,45.8736,18.5086
7775,Illocska,Baranya,BA,45.8003,18.5225
7781,Ivándárda,Baranya,BA,45.8306,18.5903
7782,Bezedek,Baranya,BA,45.8647,18.5864
7783,Majs,Baranya,BA,45.9092,18.6003
7784,Nagynyárád,Baranya,BA,45.9433,18.5781
7785,Sátorhely,Baranya,BA,45.9408,18.6344
7800,Kisharsány,Baranya,BA,45.8586,18.3642
7801,Nagytótfalu,Baranya,BA,45.8639,18.3453
7802,Nagytótfalu,Baranya,BA,45.8639,18.3453
7811,Csarnóta,Baranya,BA,45.8953,18.2147
7812,Garé,Baranya,BA,45.9189,18.1933
7813,Szava,Baranya,BA,45.9022,18.1761
7814,Ócsárd,Baranya,BA,45.9342,18.1519
7815,Harkány,Baranya,BA,45.8478,18.2375
7817,Márfa,Baranya,BA,45.86,18.1853
7822,Nagyharsány,Baranya,BA,45.8464,18.3922
7823,Kistapolca,Baranya,BA,45.8219,18.3847
7824,Egyházasharaszti,Baranya,BA,45.8094,18.3336
7826,Alsószentmárton,Baranya,BA,45.7892,18.3056
7827,Beremend,Baranya,BA,45.7853,18.4347
7831,Pellérd,Baranya,BA,46.0333,18.15
7833,Sz?ke,Baranya,BA,45.96,18.1858
7834,Téseny,Baranya,BA,45.9399,18.0885
7836,Ózdfalu,Baranya,BA,45.9292,18.0217
7837,Hegyszentmárton,Baranya,BA,45.9039,18.09
7838,Vajszló,Baranya,BA,45.8633,17.9761
7839,Zaláta,Baranya,BA,45.8167,17.8833
7841,Baranyahidvég,Baranya,BA,45.8464,18.0233
7843,Tésenfa,Baranya,BA,45.8131,18.1183
7846,Drávacsepely,Baranya,BA,45.8292,18.1386
7847,Ipacsfa,Baranya,BA,45.8347,18.2033
7851,Drávacsehi,Baranya,BA,45.8128,18.1672
7853,Gordisa,Baranya,BA,45.7964,18.2333
7854,Matty,Baranya,BA,45.7981,18.2661
7900,Szigetvár,Baranya,BA,46.05,17.8
7901,Csert?,Baranya,BA,46.1,17.8167
7912,Nagyváty,Baranya,BA,46.0667,17.9333
7913,Szentdénes,Baranya,BA,46,17.9333
7914,Katádfa,Baranya,BA,46,17.8667
7915,Szentegát,Baranya,BA,45.9667,17.8333
7921,Somogyhatvan,Baranya,BA,46.1167,17.7167
7922,Basal,Baranya,BA,46.0667,17.7833
7925,Somogyhárságy,Baranya,BA,46.1667,17.7833
7926,Vásárosbéc,Baranya,BA,46.1833,17.7333
7932,Almáskeresztúr,Baranya,BA,46.1167,17.9
7934,Almamellék,Baranya,BA,46.15,17.8833
7935,Ibafa,Baranya,BA,46.15,17.9167
7936,Szentlászló,Baranya,BA,46.15,17.8333
7937,Boldogasszonyfa,Baranya,BA,46.1833,17.8333
7940,Szentl?rinc,Baranya,BA,46.05,17.9833
7951,Velény,Baranya,BA,45.9803,18.0533
7953,Királyegyháza,Baranya,BA,46,17.9667
7954,Magyarmecske,Baranya,BA,45.95,17.9667
7957,Okorág,Baranya,BA,45.9167,17.8833
7958,Kákics,Baranya,BA,45.9025,17.8528
7960,Marócsa,Baranya,BA,45.9167,17.8167
7964,Csányoszró,Baranya,BA,45.8819,17.9019
7966,Bogdása,Baranya,BA,45.8833,17.8
7967,Drávafok,Baranya,BA,45.8864,17.76
7968,Fels?szentmárton,Baranya,BA,45.8522,17.7
7971,Hobol,Baranya,BA,46.0167,17.7667
7972,Gyöngyösmellék,Baranya,BA,45.9833,17.7
7973,Teklafalu,Baranya,BA,45.95,17.7333
7975,Kétújfalu,Baranya,BA,45.9669,17.705
7976,Zádor,Baranya,BA,45.9667,17.6653
7981,Kistamási,Baranya,BA,46.0167,17.7333
7985,Nagydobsza,Baranya,BA,46.0333,17.6667
5500,Gyomaendr?d,Békés,BE,46.9333,20.8333
5501,Gyomaendr?d,Békés,BE,46.9333,20.8333
5502,Gyomaendr?d,Békés,BE,46.9333,20.8333
5510,Dévaványa,Békés,BE,47.0333,20.9667
5515,Ecsegfalva,Békés,BE,47.15,20.9167
5516,Körösladány,Békés,BE,46.9667,21.0833
5520,Szeghalom,Békés,BE,47.0333,21.1667
5521,Szeghalom,Békés,BE,47.0333,21.1667
5525,Füzesgyarmat,Békés,BE,47.1,21.2167
5526,Kertészsziget,Békés,BE,47.15,21.0667
5527,Bucsa,Békés,BE,47.2,21
5530,Vészt?,Békés,BE,46.9167,21.2667
5534,Okány,Békés,BE,46.9,21.35
5536,Körösújfalu,Békés,BE,46.9667,21.4
5537,Zsadány,Békés,BE,46.9167,21.5
5538,Biharugra,Békés,BE,46.9667,21.6
5539,Körösnagyharsány,Békés,BE,47,21.65
5540,Szarvas,Békés,BE,46.8667,20.55
5541,Szarvas,Békés,BE,46.8667,20.55
5551,Csabacs?d,Békés,BE,46.8333,20.65
5552,Kardos,Békés,BE,46.8167,20.7708
5553,Kondoros,Békés,BE,46.7667,20.8
5555,Hunya,Békés,BE,46.8167,20.85
