Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
744101,Marine Jetty,Andaman and Nicobar,AN,A&N Islands,11.6667,92.7333
744102,Haddo,Andaman and Nicobar,AN,A&N Islands,11.6833,92.7167
744103,Jangli Ghat,Andaman and Nicobar,AN,A&N Islands,11.6667,92.7333
744104,Neel Island,Andaman and Nicobar,AN,A&N Islands,11.6667,92.7333
744105,New Secretariate Bldg,Andaman and Nicobar,AN,A&N Islands,11.6667,92.7333
744106,Shadipur,Andaman and Nicobar,AN,A&N Islands,11.65,92.75
744107,Bambooflat,Andaman and Nicobar,AN,A&N Islands,11.6667,92.7333
744201,Betapur,Andaman and Nicobar,AN,A&N Islands,12.7167,92.9
744202,Diglipur,Andaman and Nicobar,AN,A&N Islands,13.2667,93
744203,Long Island,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744204,Mayabunder,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744205,Ranghat,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744206,Wimberlygunji,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744207,Hut Bay,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744208,Bakultala,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744209,Kadamtala A & N,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744210,Oralkatcha,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744211,Havelock,Andaman and Nicobar,AN,A&N Islands,12.9917,92.95
744301,Car Nicobar,Andaman and Nicobar,AN,A&N Islands,12.1967,92.82
744302,Campbell Bay,Andaman and Nicobar,AN,A&N Islands,12.1967,92.82
744303,Nancowrie,Andaman and Nicobar,AN,A&N Islands,12.1967,92.82
744304,Kapanga,Andaman and Nicobar,AN,A&N Islands,12.1967,92.82
500001,Gandhi Bhawan,Andhra Pradesh,AP,Hyderabad,16.7024,78.1036
500002,Tagarikanaka,Andhra Pradesh,AP,Hyderabad,16.7024,78.1036
500003,Housing Board Colony,Andhra Pradesh,AP,Hyderabad,16.7024,78.1036
500004,Ac Guards,Andhra Pradesh,AP,Hyderabad,16.7024,78.1036
500007,Engineering College,Andhra Pradesh,AP,Hyderabad,16.7024,78.1036
500008,Langar House,Andhra Pradesh,AP,Hyderabad,16.7024,78.1036
500010,Haig Lines,Andhra Pradesh,AP,Hyderabad,17.4381,78.5406
500011,Old Air Port Hyd,Andhra Pradesh,AP,Hyderabad,17.4381,78.5406
500012,Osmania General Hospital,Andhra Pradesh,AP,Hyderabad,17.4381,78.5406
