Postal Code,Place Name,Latitude,Longitude
101,Reykjavík - 1,64.141,-21.9183
102,(Millilanda Póstur),64.15,-21.95
103,Reykjavík - 3,64.15,-21.95
104,Reykjavík - 4,64.15,-21.95
105,Reykjavík - 5,64.1413,-21.915
107,Reykjavík - 7,64.15,-21.95
108,Reykjavík - 8,64.1364,-21.9018
109,Reykjavík - 9,64.15,-21.95
110,Reykjavík - 10,64.1114,-21.9058
111,Reykjavík - 11,64.15,-21.95
112,Reykjavík - 12,64.15,-21.95
113,Reykjavík - 13,64.15,-21.95
116,Kjalarnesi,64.15,-21.95
121,Reykjavík - 1,64.15,-21.95
123,Reykjavík - 3,64.15,-21.95
124,Reykjavík - 4,64.15,-21.95
125,Reykjavík - 5,64.1396,-21.915
127,Reykjavík - 7,64.15,-21.95
128,Reykjavík - 8,64.15,-21.95
129,Reykjavík - 9,64.15,-21.95
130,Reykjavík - 10,64.15,-21.95
132,Reykjavík - 12,64.15,-21.95
150,Reykjavík,64.15,-21.95
155,Reykjavík,64.15,-21.95
170,Seltjarnarnesi,,
172,Seltjarnarnesi,,
190,Vogum,,
200,Kópavogi,,
201,Kópavogi,,
202,Kópavogi,,
203,Kópavogi,,
210,Garðabæ,,
212,Garðabæ,,
220,Hafnarfirði,,
221,Hafnarfirði,,
222,Hafnarfirði,,
225,Álftanesi,,
230,Reykjanesbæ,,
232,Reykjanesbæ,,
233,Reykjanesbæ,,
235,Keflavíkurflugvelli,,
240,Grindavík,63.8333,-22.4333
245,Sandgerði,64.05,-22.7
250,Garði,,
260,Reykjanesbæ,,
270,Mosfellsbæ,,
300,Akranesi,,
301,Akranesi,,
302,Akranesi,,
310,Borgarnesi,,
311,Borgarnesi,,
320,Reykholt í Borgarfirði,,
340,Stykkishólmi,,
345,Flatey á Breiðafirði,,
350,Grundarfirði,64.8833,-23.7167
355,Ólafsvík,64.8833,-23.7167
356,Snæfellsbæ,64.8833,-23.7167
360,Hellissandi,,
370,Búðardal,,
371,Búðardal,,
380,Reykhólahreppi,,
400,Ísafirði,,
401,Ísafirði,,
410,Hnífsdal,66.15,-23.25
415,Bolungarvík,66.15,-23.25
420,Súðavík,66.0333,-23
425,Flateyri,66.05,-23.5167
430,Suðureyri,66.1167,-23.5333
450,Patreksfirði,,
451,Patreksfirði,,
460,Tálknafirði,,
465,Bíldudal,,
470,Þingeyri,65.8667,-23.5
471,Þingeyri,65.8667,-23.5
500,Stað,,
510,Hólmavík,65.7167,-21.6833
512,Hólmavík,65.7167,-21.6833
520,Drangsnesi,,
522,Kjörvogi,,
523,Bæ,,
524,Norðurfirði,,
530,Hvammstanga,,
531,Hvammstanga,,
540,Blönduósi,65.8333,-20.3167
541,Blönduósi,65.8333,-20.3167
545,Skagaströnd,65.8333,-20.3167
550,Sauðárkróki,,
551,Sauðárkróki,,
560,Varmahlíð,65.9,-19.4333
565,Hofsós,65.9,-19.4333
566,Hofsós,65.9,-19.4333
570,Fljótum,,
580,Siglufirði,,
600,Akureyri,65.6932,-18.127
601,Akureyri,65.6667,-18.1
602,Akureyri,65.6667,-18.1
603,Akureyri,65.6667,-18.1
610,Grenivík,65.95,-18.1833
611,Grímsey,65.95,-18.1833
620,Dalvík,65.9667,-18.5333
621,Dalvík,65.9667,-18.5333
625,Ólafsfirði,65.9667,-18.5333
630,Hrísey,,
640,Húsavík,65.4,-13.6833
641,Húsavík,66.05,-17.35
645,Fosshólli,65.725,-15.5167
650,Laugum,,
660,Mývatni,,
670,Kópaskeri,66.45,-15.95
671,Kópaskeri,66.45,-15.95
675,Raufarhöfn,66.45,-15.95
680,Þórshöfn,66.2,-15.3333
681,Þórshöfn,66.2,-15.3333
685,Bakkafirði,66.2,-15.3333
690,Vopnafirði,,
700,Egilsstöðum,,
701,Egilsstöðum,,
710,Seyðisfirði,,
715,Mjóafirði,,
720,Borgarfirði (eystri),,
730,Reyðarfirði,,
735,Eskifirði,,
740,Neskaupstað,,
750,Fáskrúðsfirði,,
755,Stöðvarfirði,,
760,Breiðdalsvík,64.8,-14
765,Djúpavogi,64.8,-14
780,Höfn í Hornafirði,,
781,Höfn í Hornafirði,,
785,Öræfum,,
800,Selfossi,,
801,Selfossi,,
802,Selfossi,,
810,Hveragerði,64,-21.2
815,Þorlákshöfn,63.85,-21.3667
820,Eyrarbakka,63.8333,-21.0667
825,Stokkseyri,63.8333,-21.0667
840,Laugarvatni,,
845,Flúðum,,
850,Hellu,,
851,Hellu,,
860,Hvolsvelli,,
861,Hvolsvelli,,
870,Vík,63.4167,-19.0167
871,Vík,66.1333,-18.7667
880,Kirkjubæjarklaustri,,
900,Vestmannaeyjum,,
902,Vestmannaeyjum,,
