Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
67100,L'Aquila,Abruzzi,AB,L'Aquila,42.3507,13.3999
66100,Tricalle,Abruzzi,AB,Chieti,42.3549,14.1693
65100,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65121,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65122,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65123,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65124,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65125,Pescara Colli,Abruzzi,AB,Pescara,42.4667,14.2167
65126,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65127,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65128,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167
65129,Pineta Di Pescara,Abruzzi,AB,Pescara,42.45,14.2333
65131,Fontanelle,Abruzzi,AB,Pescara,42.6167,13.9167
65132,San Silvestro,Abruzzi,AB,Pescara,42.55,14.1
64100,Teramo,Abruzzi,AB,Teramo,42.6613,13.6985
75100,La Martella,Basilicata,BC,Matera,40.6609,16.5377
85100,Potenza,Basilicata,BC,Potenza,40.6372,15.8022
87100,Casali,Calabria,CI,Cosenza,39.3,16.25
88100,Catanzaro,Calabria,CI,Catanzaro,38.91,16.5877
89100,Reggio Calabria,Calabria,CI,Reggio Di Calabria,38.1,15.65
89121,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89122,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89123,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89124,Eremo,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89125,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89126,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89127,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89128,Spirito Santo,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89129,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167
89131,Regcal,Calabria,CI,Reggio Di Calabria,38.1,15.65
89132,Regcal,Calabria,CI,Reggio Di Calabria,38.1,15.65
89133,San Giorgio Extra,Calabria,CI,Reggio Di Calabria,38.1,15.65
89134,Croce Valanidi,Calabria,CI,Reggio Di Calabria,38.0547,15.6786
89135,Diminniti,Calabria,CI,Reggio Di Calabria,38.1735,15.6971
83100,Avellino,Campania,CM,Avellino,40.9152,14.7955
82100,Perrillo,Campania,CM,Benevento,41.1333,14.75
81100,Staturano,Campania,CM,Caserta,41.0917,14.3563
80100,Napoli,Campania,CM,Napoli,40.8333,14.25
80121,Napoli,Campania,CM,Napoli,40.8333,14.25
80122,Napoli,Campania,CM,Napoli,40.8333,14.25
80123,Napoli,Campania,CM,Napoli,40.8333,14.25
80124,Bagnoli,Campania,CM,Napoli,40.8167,14.1667
80125,Agnano,Campania,CM,Napoli,40.8333,14.25
80126,Soccavo,Campania,CM,Napoli,40.8477,14.1912
80127,Vomero,Campania,CM,Napoli,40.8333,14.2333
80128,Napoli,Campania,CM,Napoli,40.8333,14.25
80129,Napoli,Campania,CM,Napoli,40.8333,14.25
80131,Cappella Cangiani,Campania,CM,Napoli,40.8417,14.25
80132,Napoli,Campania,CM,Napoli,40.8333,14.25
80133,Napoli,Campania,CM,Napoli,40.8333,14.25
80134,Napoli,Campania,CM,Napoli,40.8333,14.25
80135,Napoli,Campania,CM,Napoli,40.8333,14.25
80136,Napoli,Campania,CM,Napoli,40.8333,14.25
80137,Napoli,Campania,CM,Napoli,40.8333,14.25
80138,Napoli,Campania,CM,Napoli,40.8333,14.25
80139,Napoli,Campania,CM,Napoli,40.8333,14.25
80141,Napoli,Campania,CM,Napoli,40.8333,14.25
80142,Napoli,Campania,CM,Napoli,40.8333,14.25
80143,Napoli,Campania,CM,Napoli,40.8333,14.25
80144,San Pietro A Patierno,Campania,CM,Napoli,40.8667,14.2583
80145,Marianella,Campania,CM,Napoli,40.8667,14.2417
80146,San Giovanni A Teduccio,Campania,CM,Napoli,40.8333,14.3167
80147,Barra,Campania,CM,Napoli,40.8387,14.3248
84100,Salerno,Campania,CM,Salerno,40.6833,14.7833
84121,Salerno,Campania,CM,Salerno,40.678,14.7659
84122,Salerno,Campania,CM,Salerno,40.6833,14.7833
84123,Salerno,Campania,CM,Salerno,40.6833,14.7833
84124,Salerno,Campania,CM,Salerno,40.6833,14.7833
84125,Salerno,Campania,CM,Salerno,40.6833,14.7833
84126,Salerno,Campania,CM,Salerno,40.6833,14.7833
84127,Torrione Di Salerno,Campania,CM,Salerno,40.6833,14.7833
84128,Pastena Di Salerno,Campania,CM,Salerno,40.6833,14.7833
84129,Salerno,Campania,CM,Salerno,40.6833,14.7833
84131,Fuorni,Campania,CM,Salerno,40.6833,14.7833
84132,Salerno,Campania,CM,Salerno,40.6833,14.7833
84133,Salerno,Campania,CM,Salerno,40.6833,14.7833
84134,Giovi,Campania,CM,Salerno,40.6833,14.7833
84135,Matierno,Campania,CM,Salerno,40.6833,14.7833
40100,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40121,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40122,Bologna,Emilia-Romagna,ER,Bologna,44.4944,11.3492
40123,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40124,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40125,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40126,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40127,San Donnino,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40128,Corticella,Emilia-Romagna,ER,Bologna,44.55,11.3667
40129,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40131,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40132,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40133,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40134,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40135,Casaglia,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40136,Gaibola,Emilia-Romagna,ER,Bologna,44.304,11.7637
40137,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40138,Roveri,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40139,Bologna,Emilia-Romagna,ER,Bologna,44.4938,11.3387
40141,San Ruffillo,Emilia-Romagna,ER,Bologna,44.45,11.3667
47100,Ronco,Emilia-Romagna,ER,Forli,44.3072,11.9453
44100,Ferrara,Emilia-Romagna,ER,Ferrara,44.8379,11.6204
41100,Baggiovara,Emilia-Romagna,ER,Modena,44.6043,10.8625
29100,Sant'Antonio,Emilia-Romagna,ER,Piacenza,45.0533,9.6483
43100,Cortile San Martino,Emilia-Romagna,ER,Parma,44.7816,10.3292
43126,Parma,Emilia-Romagna,ER,Parma,44.815,10.308
48100,San Bartolo,Emilia-Romagna,ER,Ravenna,44.3611,11.8217
42100,Coviolo,Emilia-Romagna,ER,Reggio Nell'Emilia,44.6802,10.5913
34170,Gorizia,Friuli-Venezia Giulia,FV,Gorizia,45.9413,13.6215
33170,Pordenone,Friuli-Venezia Giulia,FV,Pordenone,45.9627,12.655
34100,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34121,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34122,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34123,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34124,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34125,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34126,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34127,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34128,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34129,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34131,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34132,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34133,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34134,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34135,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34136,Cedas,Friuli-Venezia Giulia,FV,Trieste,45.7,13.7333
34137,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34138,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34139,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
34141,Trieste,Friuli-Venezia Giulia,FV,Trieste,45.6486,13.78
