Postal Codes,Place Name,State,Latitude,Longitude
50000,Anuradhapura,AD,8.35,80.3833
50004,Perimiyankulama,AD,8.2667,80.5333
50006,Galkadawala,AD,8.4,80.3833
50008,Saliyapura,AD,8.3389,80.4333
50012,Viharapalugama,AD,8.4,80.3
50014,Elayapattuwa,AD,8.4,80.3
50016,Tantirimale,AD,8.4,80.3
50020,Pemaduwa,AD,8.2814,80.4588
50022,Mahawilachchiya,AD,8.2814,80.4588
50029,Pandulagama,AD,8.2814,80.4588
50036,Gnanikulama,AD,8.3,80.4333
50042,Sravasthipura,AD,8.2667,80.4333
50044,Hidogama,AD,8.2667,80.4
50046,Nachchaduwa,AD,8.2667,80.4667
50055,Parasangahawewa,AD,8.4333,80.4333
50057,Gambirigaswewa,AD,8.4667,80.3667
50062,Kurundankulama,AD,8.2,80.45
50064,Galkulama,AD,8.2667,80.5
50067,Uttimaduwa,AD,8.25,80.55
50068,Sivalakulama,AD,8.25,80.6333
50072,Tirappane,AD,8.2167,80.3833
50080,Maradankadawala,AD,8.1333,80.4833
50086,Walagambahuwa,AD,8.15,80.5
50088,Labunoruwa,AD,8.1667,80.6
50100,Kekirawa,AD,8.0333,80.6
50104,Tammennawa,AD,8.0333,80.6
50110,Vijithapura,AD,7.4667,80.1333
50111,Palagala,AD,7.4667,80.1333
50112,Andiyagala,AD,7.4667,80.1333
50120,Galkiriyagama,AD,7.9414,80.565
50122,Pubbogama,AD,7.9167,80.6
50124,Halmillawa Dambulla,AD,7.9474,80.594
50126,Maha Elagamuwa,AD,7.9842,80.6169
50130,Madatugama,AD,7.9439,80.6289
50132,Kitulhitiyawa,AD,7.9167,80.6333
50142,Ganewalpola,AD,8.0833,80.6167
50144,Palugaswewa,AD,8.05,80.7
50150,Habarana,AD,8.0333,80.75
50169,Awukana,AD,7.9753,80.5266
50170,Galnewa,AD,8.2,80.3667
50174,Kalankuttiya,AD,8.05,80.3833
50176,Hurigaswewa,AD,8.1333,80.3667
50180,Negampaha,AD,7.9872,80.4597
50182,Maneruwa,AD,7.9142,80.4886
50184,Siyambalewa,AD,7.95,80.5167
50196,Mahabulankulama,AD,7.9753,80.5266
50200,Nochchiyagama,AD,8.2667,80.2
50206,Pahala Halmillewa,AD,8.2167,80.1833
50207,Udunuwara Colony,AD,8.2417,80.1917
50210,Galadivulwewa,AD,7.8,80.0833
50212,Ranorawa,AD,7.8,80.0833
