Postal Code,Place Name,Latitude,Longitude
L-1009,Luxembourg,49.6117,6.13
L-1010,Luxembourg,49.6117,6.13
L-1011,Luxembourg,49.6117,6.13
L-1012,Luxembourg,49.6117,6.13
L-1013,Luxembourg,49.6117,6.13
L-1014,Luxembourg,49.6117,6.13
L-1015,Luxembourg,49.6117,6.13
L-1016,Luxembourg,49.6009,6.1332
L-1017,Luxembourg,49.6117,6.13
L-1018,Luxembourg,49.6117,6.13
L-1019,Luxembourg,49.6117,6.13
L-1020,Luxembourg,49.6117,6.13
L-1021,Luxembourg,49.6117,6.13
L-1022,Luxembourg,49.6117,6.13
L-1023,Luxembourg,49.6117,6.13
L-1024,Luxembourg,49.6117,6.13
L-1025,Luxembourg,49.6117,6.13
L-1026,Luxembourg,49.6117,6.13
L-1027,Luxembourg,49.6117,6.13
L-1028,Luxembourg,49.6117,6.13
L-1029,Luxembourg,49.6117,6.13
L-1030,Luxembourg,49.6117,6.13
L-1050,Luxembourg,49.6117,6.13
L-1090,Luxembourg,49.6117,6.13
L-1110,Findel,49.6239,6.2028
L-1111,Luxembourg,49.6117,6.13
L-1112,Luxembourg,49.6117,6.13
L-1113,Luxembourg,49.6117,6.13
L-1114,Luxembourg,49.6117,6.13
L-1115,Luxembourg,49.6117,6.13
L-1116,Luxembourg,49.6117,6.13
L-1117,Luxembourg,49.6082,6.1183
L-1118,Luxembourg,49.6117,6.13
L-1119,Luxembourg,49.6117,6.13
L-1120,Luxembourg,49.6117,6.13
L-1121,Luxembourg,49.6117,6.13
L-1122,Luxembourg,49.6117,6.13
L-1123,Luxembourg,49.6117,6.13
L-1124,Luxembourg,49.6117,6.13
L-1125,Luxembourg,49.6117,6.13
L-1126,Luxembourg,49.6117,6.13
L-1127,Luxembourg,49.6117,6.13
L-1128,Luxembourg,49.6117,6.13
L-1129,Luxembourg,49.6117,6.13
L-1130,Luxembourg,49.6033,6.13
L-1131,Luxembourg,49.6117,6.13
L-1132,Luxembourg,49.6117,6.13
L-1133,Luxembourg,49.6117,6.13
L-1134,Luxembourg,49.6117,6.13
L-1135,Luxembourg,49.6117,6.13
L-1136,Luxembourg,49.6117,6.13
