Postal Code,Place Name,State,County,Latitude,Longitude
9400,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9401,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9402,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9403,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9404,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9405,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9406,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9407,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9408,Assen,Provincie Drenthe,Gemeente Assen,52.9967,6.5625
9409,Loon,Provincie Drenthe,Gemeente Assen,53.0133,6.6125
9486,Rhee,Provincie Drenthe,Gemeente Assen,53.0325,6.5667
9487,Ter Aard,Provincie Drenthe,Gemeente Assen,53.0258,6.5472
9492,Ubbena,Provincie Drenthe,Gemeente Assen,53.045,6.5722
7740,Coevorden,Provincie Drenthe,Gemeente Coevorden,52.661,6.7405
7741,Coevorden,Provincie Drenthe,Gemeente Coevorden,52.661,6.7405
7742,Coevorden,Provincie Drenthe,Gemeente Coevorden,52.661,6.7405
7750,Dalen,Provincie Drenthe,Gemeente Coevorden,52.6992,6.7556
7751,Dalen,Provincie Drenthe,Gemeente Coevorden,52.6992,6.7556
7753,Dalerpeel,Provincie Drenthe,Gemeente Coevorden,52.68,6.6597
7754,Wachtum,Provincie Drenthe,Gemeente Coevorden,52.7242,6.75
7755,Dalerveen,Provincie Drenthe,Gemeente Coevorden,52.6991,6.807
7756,Stieltjeskanaal,Provincie Drenthe,Gemeente Coevorden,52.675,6.8292
7840,Sleen,Provincie Drenthe,Gemeente Coevorden,52.7717,6.8028
7841,Sleen,Provincie Drenthe,Gemeente Coevorden,52.7717,6.8028
7842,Diphoorn,Provincie Drenthe,Gemeente Coevorden,52.77,6.8194
7843,Erm,Provincie Drenthe,Gemeente Coevorden,52.755,6.8167
7845,Holsloot,Provincie Drenthe,Gemeente Coevorden,52.7283,6.8028
7846,Noord-Sleen,Provincie Drenthe,Gemeente Coevorden,52.79,6.8056
7847,'t Haantje,Provincie Drenthe,Gemeente Coevorden,52.815,6.8264
7848,Schoonoord,Provincie Drenthe,Gemeente Coevorden,52.8458,6.7556
7849,De Kiel,Provincie Drenthe,Gemeente Coevorden,52.8633,6.7486
7851,Zweeloo,Provincie Drenthe,Gemeente Coevorden,52.795,6.7306
7852,Wezup,Provincie Drenthe,Gemeente Coevorden,52.8108,6.7194
7853,Wezuperbrug,Provincie Drenthe,Gemeente Coevorden,52.8408,6.7194
7854,Aalden,Provincie Drenthe,Gemeente Coevorden,52.79,6.7181
