Postal Code,Place Name,State,Latitude,Longitude
10010,Watala,Norhern Punajb Rawalpindi,30.7819,71.6511
10011,Saryala Chappar,Norhern Punajb Rawalpindi,30.7819,71.6511
10020,Barnala,Norhern Punajb Rawalpindi,31.6333,73.1
10021,Ahla,Norhern Punajb Rawalpindi,27.8431,67.6604
10030,Bharing (A.K),Norhern Punajb Rawalpindi,32.9708,73.9806
10031,Maloot,Norhern Punajb Rawalpindi,32.9708,73.9806
10034,Kadhala,Norhern Punajb Rawalpindi,32.9708,73.9806
10040,Bhimber,Norhern Punajb Rawalpindi,32.9833,74.0667
10041,Randian,Norhern Punajb Rawalpindi,31.0833,72.55
10050,Bangla Sadabad,Norhern Punajb Rawalpindi,30.7819,71.6511
10051,Baghsar,Norhern Punajb Rawalpindi,30.7819,71.6511
10060,Sammani,Norhern Punajb Rawalpindi,30.7819,71.6511
10061,Bindi,Norhern Punajb Rawalpindi,30.65,70.7167
10070,Barjah,Norhern Punajb Rawalpindi,33.1611,73.9806
10080,Chowki,Norhern Punajb Rawalpindi,25.0261,66.8833
10081,Dana,Norhern Punajb Rawalpindi,33.1556,74.0972
10100,Poona,Norhern Punajb Rawalpindi,33.1908,73.1172
10101,Dhal Khumba,Norhern Punajb Rawalpindi,33.1908,73.1172
10200,Mangla Dam,Federal Capial &AJK,31.4736,74.2431
10230,Chitter Pari (Ak),Federal Capial &AJK,31.4736,74.2431
10250,Mirpur City P.O,Federal Capial &AJK,31.4736,74.2431
10251,Kharak,Federal Capial &AJK,31.5083,74.2689
10300,Siakh,Federal Capial &AJK,33.4574,73.2244
10301,Bheli,Federal Capial &AJK,33.4574,73.2244
10310,Khadimabad (A.K.),Federal Capial &AJK,34.1078,71.1414
10311,Kandore,Federal Capial &AJK,34.1078,71.1414
10320,Chhattroh,Federal Capial &AJK,34.4136,72.9211
10321,Batli,Federal Capial &AJK,34.4136,72.9211
10350,Chechian (Ak),Federal Capial &AJK,33.4574,73.2244
10360,Afzal Pur,Federal Capial &AJK,33.4574,73.2244
10361,Sanwal Sharif,Federal Capial &AJK,33.4574,73.2244
10370,Banni,Federal Capial &AJK,33.6333,73.0667
10380,Jatli (Ak),Federal Capial &AJK,33.0118,73.8604
10381,Rahian,Federal Capial &AJK,32.9333,73.7833
10400,Panjeri,Federal Capial &AJK,33.0167,73.9167
10401,Chhanni Kuntal,Federal Capial &AJK,33.0167,73.9167
10450,Potha Bainsi,Federal Capial &AJK,32.1667,73.0741
