Postal Code,Place Name,State,County,Latitude,Longitude
00-001,Warszawa,Mazowieckie,Warszawa,52.25,21
00-002,Warszawa,Mazowieckie,Warszawa,52.25,21
00-003,Warszawa,Mazowieckie,Warszawa,52.25,21
00-004,Warszawa,Mazowieckie,Warszawa,52.25,21
00-005,Warszawa,Mazowieckie,Warszawa,52.25,21
00-006,Warszawa,Mazowieckie,Warszawa,52.25,21
00-007,Warszawa,Mazowieckie,Warszawa,52.25,21
00-008,Warszawa,Mazowieckie,Warszawa,52.25,21
00-009,Warszawa,Mazowieckie,Warszawa,52.25,21
00-010,Warszawa,Mazowieckie,Warszawa,52.25,21
00-011,Warszawa,Mazowieckie,Warszawa,52.25,21
00-012,Warszawa,Mazowieckie,Warszawa,52.25,21
00-013,Warszawa,Mazowieckie,Warszawa,52.25,21
00-014,Warszawa,Mazowieckie,Warszawa,52.25,21
00-015,Warszawa,Mazowieckie,Warszawa,52.25,21
00-016,Warszawa,Mazowieckie,Warszawa,52.25,21
00-017,Warszawa,Mazowieckie,Warszawa,52.25,21
00-018,Warszawa,Mazowieckie,Warszawa,52.25,21
00-019,Warszawa,Mazowieckie,Warszawa,52.25,21
00-020,Warszawa,Mazowieckie,Warszawa,52.25,21
00-021,Warszawa,Mazowieckie,Warszawa,52.25,21
00-022,Warszawa,Mazowieckie,Warszawa,52.25,21
00-023,Warszawa,Mazowieckie,Warszawa,52.25,21
00-024,Warszawa,Mazowieckie,Warszawa,52.25,21
00-025,Warszawa,Mazowieckie,Warszawa,52.25,21
00-026,Warszawa,Mazowieckie,Warszawa,52.25,21
00-027,Warszawa,Mazowieckie,Warszawa,52.25,21
00-028,Warszawa,Mazowieckie,Warszawa,52.25,21
00-029,Warszawa,Mazowieckie,Warszawa,52.25,21
00-030,Warszawa,Mazowieckie,Warszawa,52.25,21
00-031,Warszawa,Mazowieckie,Warszawa,52.25,21
00-032,Warszawa,Mazowieckie,Warszawa,52.25,21
00-033,Warszawa,Mazowieckie,Warszawa,52.25,21
00-034,Warszawa,Mazowieckie,Warszawa,52.25,21
00-035,Warszawa,Mazowieckie,Warszawa,52.25,21
00-036,Warszawa,Mazowieckie,Warszawa,52.25,21
00-037,Warszawa,Mazowieckie,Warszawa,52.25,21
00-038,Warszawa,Mazowieckie,Warszawa,52.25,21
00-039,Warszawa,Mazowieckie,Warszawa,52.25,21
00-040,Warszawa,Mazowieckie,Warszawa,52.25,21
00-041,Warszawa,Mazowieckie,Warszawa,52.25,21
00-042,Warszawa,Mazowieckie,Warszawa,52.25,21
00-043,Warszawa,Mazowieckie,Warszawa,52.25,21
00-044,Warszawa,Mazowieckie,Warszawa,52.25,21
00-046,Warszawa,Mazowieckie,Warszawa,52.25,21
00-047,Warszawa,Mazowieckie,Warszawa,52.25,21
00-048,Warszawa,Mazowieckie,Warszawa,52.25,21
00-049,Warszawa,Mazowieckie,Warszawa,52.25,21
00-050,Warszawa,Mazowieckie,Warszawa,52.25,21
00-051,Warszawa,Mazowieckie,Warszawa,52.25,21
00-052,Warszawa,Mazowieckie,Warszawa,52.25,21
00-054,Warszawa,Mazowieckie,Warszawa,52.25,21
00-055,Warszawa,Mazowieckie,Warszawa,52.25,21
00-056,Warszawa,Mazowieckie,Warszawa,52.25,21
00-057,Warszawa,Mazowieckie,Warszawa,52.25,21
00-058,Warszawa,Mazowieckie,Warszawa,52.25,21
00-059,Warszawa,Mazowieckie,Warszawa,52.25,21
00-060,Warszawa,Mazowieckie,Warszawa,52.25,21
00-061,Warszawa,Mazowieckie,Warszawa,52.25,21
00-062,Warszawa,Mazowieckie,Warszawa,52.25,21
00-063,Warszawa,Mazowieckie,Warszawa,52.25,21
00-064,Warszawa,Mazowieckie,Warszawa,52.25,21
00-065,Warszawa,Mazowieckie,Warszawa,52.25,21
00-066,Warszawa,Mazowieckie,Warszawa,52.25,21
00-067,Warszawa,Mazowieckie,Warszawa,52.25,21
00-068,Warszawa,Mazowieckie,Warszawa,52.25,21
00-070,Warszawa,Mazowieckie,Warszawa,52.25,21
00-071,Warszawa,Mazowieckie,Warszawa,52.25,21
00-072,Warszawa,Mazowieckie,Warszawa,52.25,21
00-073,Warszawa,Mazowieckie,Warszawa,52.25,21
00-074,Warszawa,Mazowieckie,Warszawa,52.25,21
00-075,Warszawa,Mazowieckie,Warszawa,52.25,21
00-076,Warszawa,Mazowieckie,Warszawa,52.25,21
00-077,Warszawa,Mazowieckie,Warszawa,52.25,21
00-078,Warszawa,Mazowieckie,Warszawa,52.25,21
00-079,Warszawa,Mazowieckie,Warszawa,52.25,21
00-080,Warszawa,Mazowieckie,Warszawa,52.25,21
00-081,Warszawa,Mazowieckie,Warszawa,52.25,21
00-082,Warszawa,Mazowieckie,Warszawa,52.25,21
00-083,Warszawa,Mazowieckie,Warszawa,52.25,21
00-084,Warszawa,Mazowieckie,Warszawa,52.25,21
00-085,Warszawa,Mazowieckie,Warszawa,52.25,21
00-086,Warszawa,Mazowieckie,Warszawa,52.25,21
00-087,Warszawa,Mazowieckie,Warszawa,52.25,21
00-088,Warszawa,Mazowieckie,Warszawa,52.25,21
00-089,Warszawa,Mazowieckie,Warszawa,52.25,21
00-090,Warszawa,Mazowieckie,Warszawa,52.25,21
00-091,Warszawa,Mazowieckie,Warszawa,52.25,21
00-092,Warszawa,Mazowieckie,Warszawa,52.25,21
00-093,Warszawa,Mazowieckie,Warszawa,52.25,21
00-094,Warszawa,Mazowieckie,Warszawa,52.25,21
00-095,Warszawa,Mazowieckie,Warszawa,52.25,21
00-096,Warszawa,Mazowieckie,Warszawa,52.25,21
00-097,Warszawa,Mazowieckie,Warszawa,52.25,21
00-098,Warszawa,Mazowieckie,Warszawa,52.25,21
00-099,Warszawa,Mazowieckie,Warszawa,52.25,21
00-100,Warszawa,Mazowieckie,Warszawa,52.25,21
00-102,Warszawa,Mazowieckie,Warszawa,52.25,21
00-103,Warszawa,Mazowieckie,Warszawa,52.25,21
00-104,Warszawa,Mazowieckie,Warszawa,52.25,21
00-105,Warszawa,Mazowieckie,Warszawa,52.25,21
00-107,Warszawa,Mazowieckie,Warszawa,52.25,21
00-108,Warszawa,Mazowieckie,Warszawa,52.25,21
00-109,Warszawa,Mazowieckie,Warszawa,52.25,21
00-110,Warszawa,Mazowieckie,Warszawa,52.25,21
00-111,Warszawa,Mazowieckie,Warszawa,52.25,21
00-112,Warszawa,Mazowieckie,Warszawa,52.25,21
00-113,Warszawa,Mazowieckie,Warszawa,52.25,21
00-114,Warszawa,Mazowieckie,Warszawa,52.25,21
00-115,Warszawa,Mazowieckie,Warszawa,52.25,21
00-116,Warszawa,Mazowieckie,Warszawa,52.25,21
00-117,Warszawa,Mazowieckie,Warszawa,52.25,21
00-118,Warszawa,Mazowieckie,Warszawa,52.25,21
00-119,Warszawa,Mazowieckie,Warszawa,52.25,21
00-120,Warszawa,Mazowieckie,Warszawa,52.25,21
00-121,Warszawa,Mazowieckie,Warszawa,52.25,21
00-123,Warszawa,Mazowieckie,Warszawa,52.25,21
00-124,Warszawa,Mazowieckie,Warszawa,52.25,21
00-125,Warszawa,Mazowieckie,Warszawa,52.25,21
00-126,Warszawa,Mazowieckie,Warszawa,52.25,21
00-127,Warszawa,Mazowieckie,Warszawa,52.25,21
00-130,Warszawa,Mazowieckie,Warszawa,52.25,21
00-131,Warszawa,Mazowieckie,Warszawa,52.25,21
00-132,Warszawa,Mazowieckie,Warszawa,52.25,21
00-133,Warszawa,Mazowieckie,Warszawa,52.25,21
00-135,Warszawa,Mazowieckie,Warszawa,52.25,21
00-136,Warszawa,Mazowieckie,Warszawa,52.25,21
00-137,Warszawa,Mazowieckie,Warszawa,52.25,21
00-138,Warszawa,Mazowieckie,Warszawa,52.25,21
00-139,Warszawa,Mazowieckie,Warszawa,52.25,21
00-140,Warszawa,Mazowieckie,Warszawa,52.25,21
00-141,Warszawa,Mazowieckie,Warszawa,52.25,21
00-142,Warszawa,Mazowieckie,Warszawa,52.25,21
00-143,Warszawa,Mazowieckie,Warszawa,52.25,21
00-144,Warszawa,Mazowieckie,Warszawa,52.25,21
00-145,Warszawa,Mazowieckie,Warszawa,52.25,21
00-146,Warszawa,Mazowieckie,Warszawa,52.25,21
00-147,Warszawa,Mazowieckie,Warszawa,52.25,21
00-148,Warszawa,Mazowieckie,Warszawa,52.25,21
00-149,Warszawa,Mazowieckie,Warszawa,52.25,21
00-150,Warszawa,Mazowieckie,Warszawa,52.25,21
00-151,Warszawa,Mazowieckie,Warszawa,52.25,21
00-152,Warszawa,Mazowieckie,Warszawa,52.25,21
00-153,Warszawa,Mazowieckie,Warszawa,52.25,21
00-154,Warszawa,Mazowieckie,Warszawa,52.25,21
00-155,Warszawa,Mazowieckie,Warszawa,52.25,21
00-156,Warszawa,Mazowieckie,Warszawa,52.25,21
00-157,Warszawa,Mazowieckie,Warszawa,52.25,21
00-158,Warszawa,Mazowieckie,Warszawa,52.25,21
00-159,Warszawa,Mazowieckie,Warszawa,52.25,21
00-160,Warszawa,Mazowieckie,Warszawa,52.25,21
00-161,Warszawa,Mazowieckie,Warszawa,52.25,21
00-162,Warszawa,Mazowieckie,Warszawa,52.25,21
00-163,Warszawa,Mazowieckie,Warszawa,52.25,21
00-164,Warszawa,Mazowieckie,Warszawa,52.25,21
00-165,Warszawa,Mazowieckie,Warszawa,52.25,21
00-166,Warszawa,Mazowieckie,Warszawa,52.25,21
00-167,Warszawa,Mazowieckie,Warszawa,52.25,21
00-168,Warszawa,Mazowieckie,Warszawa,52.25,21
00-169,Warszawa,Mazowieckie,Warszawa,52.25,21
00-170,Warszawa,Mazowieckie,Warszawa,52.25,21
00-171,Warszawa,Mazowieckie,Warszawa,52.25,21
00-172,Warszawa,Mazowieckie,Warszawa,52.25,21
00-173,Warszawa,Mazowieckie,Warszawa,52.25,21
00-174,Warszawa,Mazowieckie,Warszawa,52.25,21
00-175,Warszawa,Mazowieckie,Warszawa,52.25,21
00-176,Warszawa,Mazowieckie,Warszawa,52.25,21
00-177,Warszawa,Mazowieckie,Warszawa,52.25,21
00-178,Warszawa,Mazowieckie,Warszawa,52.25,21
00-179,Warszawa,Mazowieckie,Warszawa,52.25,21
00-180,Warszawa,Mazowieckie,Warszawa,52.25,21
00-181,Warszawa,Mazowieckie,Warszawa,52.25,21
00-182,Warszawa,Mazowieckie,Warszawa,52.25,21
00-183,Warszawa,Mazowieckie,Warszawa,52.25,21
00-184,Warszawa,Mazowieckie,Warszawa,52.25,21
00-185,Warszawa,Mazowieckie,Warszawa,52.25,21
00-186,Warszawa,Mazowieckie,Warszawa,52.25,21
00-187,Warszawa,Mazowieckie,Warszawa,52.25,21
00-188,Warszawa,Mazowieckie,Warszawa,52.25,21
00-189,Warszawa,Mazowieckie,Warszawa,52.25,21
00-190,Warszawa,Mazowieckie,Warszawa,52.25,21
00-191,Warszawa,Mazowieckie,Warszawa,52.25,21
00-192,Warszawa,Mazowieckie,Warszawa,52.25,21
00-193,Warszawa,Mazowieckie,Warszawa,52.25,21
00-194,Warszawa,Mazowieckie,Warszawa,52.25,21
00-195,Warszawa,Mazowieckie,Warszawa,52.25,21
00-196,Warszawa,Mazowieckie,Warszawa,52.25,21
00-197,Warszawa,Mazowieckie,Warszawa,52.25,21
00-198,Warszawa,Mazowieckie,Warszawa,52.25,21
00-199,Warszawa,Mazowieckie,Warszawa,52.25,21
00-200,Warszawa,Mazowieckie,Warszawa,52.25,21
00-201,Warszawa,Mazowieckie,Warszawa,52.25,21
00-202,Warszawa,Mazowieckie,Warszawa,52.25,21
00-203,Warszawa,Mazowieckie,Warszawa,52.25,21
00-204,Warszawa,Mazowieckie,Warszawa,52.25,21
00-205,Warszawa,Mazowieckie,Warszawa,52.25,21
00-206,Warszawa,Mazowieckie,Warszawa,52.25,21
00-207,Warszawa,Mazowieckie,Warszawa,52.25,21
00-208,Warszawa,Mazowieckie,Warszawa,52.25,21
00-209,Warszawa,Mazowieckie,Warszawa,52.25,21
00-210,Warszawa,Mazowieckie,Warszawa,52.25,21
00-211,Warszawa,Mazowieckie,Warszawa,52.25,21
00-213,Warszawa,Mazowieckie,Warszawa,52.25,21
00-214,Warszawa,Mazowieckie,Warszawa,52.25,21
00-215,Warszawa,Mazowieckie,Warszawa,52.25,21
00-216,Warszawa,Mazowieckie,Warszawa,52.25,21
00-217,Warszawa,Mazowieckie,Warszawa,52.25,21
00-218,Warszawa,Mazowieckie,Warszawa,52.25,21
00-219,Warszawa,Mazowieckie,Warszawa,52.25,21
00-220,Warszawa,Mazowieckie,Warszawa,52.25,21
00-221,Warszawa,Mazowieckie,Warszawa,52.25,21
00-222,Warszawa,Mazowieckie,Warszawa,52.25,21
00-223,Warszawa,Mazowieckie,Warszawa,52.25,21
00-224,Warszawa,Mazowieckie,Warszawa,52.25,21
00-225,Warszawa,Mazowieckie,Warszawa,52.25,21
00-227,Warszawa,Mazowieckie,Warszawa,52.25,21
00-228,Warszawa,Mazowieckie,Warszawa,52.25,21
00-229,Warszawa,Mazowieckie,Warszawa,52.25,21
00-230,Warszawa,Mazowieckie,Warszawa,52.25,21
00-231,Warszawa,Mazowieckie,Warszawa,52.25,21
00-232,Warszawa,Mazowieckie,Warszawa,52.25,21
00-233,Warszawa,Mazowieckie,Warszawa,52.25,21
00-234,Warszawa,Mazowieckie,Warszawa,52.25,21
00-235,Warszawa,Mazowieckie,Warszawa,52.25,21
00-236,Warszawa,Mazowieckie,Warszawa,52.25,21
00-237,Warszawa,Mazowieckie,Warszawa,52.25,21
00-238,Warszawa,Mazowieckie,Warszawa,52.25,21
00-240,Warszawa,Mazowieckie,Warszawa,52.25,21
00-241,Warszawa,Mazowieckie,Warszawa,52.25,21
00-242,Warszawa,Mazowieckie,Warszawa,52.25,21
00-243,Warszawa,Mazowieckie,Warszawa,52.25,21
00-244,Warszawa,Mazowieckie,Warszawa,52.25,21
00-245,Warszawa,Mazowieckie,Warszawa,52.25,21
00-246,Warszawa,Mazowieckie,Warszawa,52.25,21
00-248,Warszawa,Mazowieckie,Warszawa,52.25,21
00-249,Warszawa,Mazowieckie,Warszawa,52.25,21
00-251,Warszawa,Mazowieckie,Warszawa,52.25,21
00-252,Warszawa,Mazowieckie,Warszawa,52.25,21
00-253,Warszawa,Mazowieckie,Warszawa,52.25,21
00-254,Warszawa,Mazowieckie,Warszawa,52.25,21
00-255,Warszawa,Mazowieckie,Warszawa,52.25,21
00-256,Warszawa,Mazowieckie,Warszawa,52.25,21
00-257,Warszawa,Mazowieckie,Warszawa,52.25,21
00-258,Warszawa,Mazowieckie,Warszawa,52.25,21
00-259,Warszawa,Mazowieckie,Warszawa,52.25,21
00-260,Warszawa,Mazowieckie,Warszawa,52.25,21
00-261,Warszawa,Mazowieckie,Warszawa,52.25,21
00-262,Warszawa,Mazowieckie,Warszawa,52.25,21
00-263,Warszawa,Mazowieckie,Warszawa,52.25,21
00-264,Warszawa,Mazowieckie,Warszawa,52.25,21
00-265,Warszawa,Mazowieckie,Warszawa,52.25,21
00-266,Warszawa,Mazowieckie,Warszawa,52.25,21
00-267,Warszawa,Mazowieckie,Warszawa,52.25,21
00-268,Warszawa,Mazowieckie,Warszawa,52.25,21
00-270,Warszawa,Mazowieckie,Warszawa,52.25,21
00-271,Warszawa,Mazowieckie,Warszawa,52.25,21
00-272,Warszawa,Mazowieckie,Warszawa,52.25,21
00-273,Warszawa,Mazowieckie,Warszawa,52.25,21
00-274,Warszawa,Mazowieckie,Warszawa,52.25,21
00-275,Warszawa,Mazowieckie,Warszawa,52.25,21
00-277,Warszawa,Mazowieckie,Warszawa,52.25,21
00-278,Warszawa,Mazowieckie,Warszawa,52.25,21
00-279,Warszawa,Mazowieckie,Warszawa,52.25,21
00-280,Warszawa,Mazowieckie,Warszawa,52.25,21
00-281,Warszawa,Mazowieckie,Warszawa,52.25,21
00-282,Warszawa,Mazowieckie,Warszawa,52.25,21
00-283,Warszawa,Mazowieckie,Warszawa,52.25,21
00-284,Warszawa,Mazowieckie,Warszawa,52.25,21
00-285,Warszawa,Mazowieckie,Warszawa,52.25,21
00-286,Warszawa,Mazowieckie,Warszawa,52.25,21
00-287,Warszawa,Mazowieckie,Warszawa,52.25,21
00-288,Warszawa,Mazowieckie,Warszawa,52.25,21
00-301,Warszawa,Mazowieckie,Warszawa,52.25,21
00-302,Warszawa,Mazowieckie,Warszawa,52.25,21
00-303,Warszawa,Mazowieckie,Warszawa,52.25,21
00-304,Warszawa,Mazowieckie,Warszawa,52.25,21
00-305,Warszawa,Mazowieckie,Warszawa,52.25,21
00-306,Warszawa,Mazowieckie,Warszawa,52.25,21
00-307,Warszawa,Mazowieckie,Warszawa,52.25,21
00-308,Warszawa,Mazowieckie,Warszawa,52.25,21
00-309,Warszawa,Mazowieckie,Warszawa,52.25,21
00-310,Warszawa,Mazowieckie,Warszawa,52.25,21
00-311,Warszawa,Mazowieckie,Warszawa,52.25,21
00-312,Warszawa,Mazowieckie,Warszawa,52.25,21
00-313,Warszawa,Mazowieckie,Warszawa,52.25,21
00-314,Warszawa,Mazowieckie,Warszawa,52.25,21
00-315,Warszawa,Mazowieckie,Warszawa,52.25,21
00-316,Warszawa,Mazowieckie,Warszawa,52.25,21
00-317,Warszawa,Mazowieckie,Warszawa,52.25,21
00-318,Warszawa,Mazowieckie,Warszawa,52.25,21
00-321,Warszawa,Mazowieckie,Warszawa,52.25,21
00-322,Warszawa,Mazowieckie,Warszawa,52.25,21
00-324,Warszawa,Mazowieckie,Warszawa,52.25,21
00-325,Warszawa,Mazowieckie,Warszawa,52.25,21
00-327,Warszawa,Mazowieckie,Warszawa,52.25,21
00-328,Warszawa,Mazowieckie,Warszawa,52.25,21
00-330,Warszawa,Mazowieckie,Warszawa,52.25,21
00-331,Warszawa,Mazowieckie,Warszawa,52.25,21
00-332,Warszawa,Mazowieckie,Warszawa,52.25,21
00-333,Warszawa,Mazowieckie,Warszawa,52.25,21
00-334,Warszawa,Mazowieckie,Warszawa,52.25,21
00-335,Warszawa,Mazowieckie,Warszawa,52.25,21
00-336,Warszawa,Mazowieckie,Warszawa,52.25,21
00-337,Warszawa,Mazowieckie,Warszawa,52.25,21
00-338,Warszawa,Mazowieckie,Warszawa,52.25,21
00-339,Warszawa,Mazowieckie,Warszawa,52.25,21
00-340,Warszawa,Mazowieckie,Warszawa,52.25,21
00-341,Warszawa,Mazowieckie,Warszawa,52.25,21
00-342,Warszawa,Mazowieckie,Warszawa,52.25,21
00-343,Warszawa,Mazowieckie,Warszawa,52.25,21
00-344,Warszawa,Mazowieckie,Warszawa,52.25,21
00-345,Warszawa,Mazowieckie,Warszawa,52.25,21
00-346,Warszawa,Mazowieckie,Warszawa,52.25,21
00-347,Warszawa,Mazowieckie,Warszawa,52.25,21
00-348,Warszawa,Mazowieckie,Warszawa,52.25,21
00-349,Warszawa,Mazowieckie,Warszawa,52.25,21
