Postal Code,Place Name,State,County,Latitude,Longitude,
601,Adjuntas,Pr,Adjuntas,18.1653,-66.7226,
602,Aguada,Pr,Aguada,18.3931,-67.181,
603,Aguadilla,Pr,Aguadilla,18.4559,-67.1458,
604,Aguadilla,Pr,Aguadilla,18.4935,-67.1359,
605,Aguadilla,Pr,Aguadilla,18.4652,-67.1415,
690,San Antonio,Pr,Aguadilla,18.4762,-67.1396,
703,Aguas Buenas,Pr,Aguas Buenas,18.2504,-66.1284,
705,Aibonito,Pr,Aibonito,18.1281,-66.2687,
786,La Plata,Pr,Aibonito,18.1281,-66.2687,
610,Anasco,Pr,Anasco,18.2887,-67.1397,
612,Arecibo,Pr,Arecibo,18.4507,-66.6983,
613,Arecibo,Pr,Arecibo,18.4581,-66.7327,
614,Arecibo,Pr,Arecibo,18.4297,-66.6745,
616,Bajadero,Pr,Arecibo,18.4448,-66.6407,
652,Garrochales,Pr,Arecibo,18.4573,-66.6034,
688,Sabana Hoyos,Pr,Arecibo,18.4297,-66.6745,
714,Arroyo,Pr,Arroyo,17.9675,-66.0414,
617,Barceloneta,Pr,Barceloneta,18.4471,-66.5443,
794,Barranquitas,Pr,Barranquitas,18.2009,-66.3072,
934,Fort Buchanan,Pr,Bayamon,18.3449,-66.166,
956,Bayamon,Pr,Bayamon,18.3267,-66.1742,
957,Bayamon,Pr,Bayamon,18.3666,-66.1839,
958,Bayamon,Pr,Bayamon,18.3449,-66.166,
959,Bayamon,Pr,Bayamon,18.3871,-66.159,
960,Bayamon,Pr,Bayamon,18.3449,-66.166,
961,Bayamon,Pr,Bayamon,18.4132,-66.1687,
622,Boqueron,Pr,Cabo Rojo,17.9985,-67.1873,
623,Cabo Rojo,Pr,Cabo Rojo,18.0622,-67.1495,
725,Caguas,Pr,Caguas,18.213,-66.058,
726,Caguas,Pr,Caguas,18.213,-66.058,
627,Camuy,Pr,Camuy,18.4779,-66.8548,
729,Canovanas,Pr,Canovanas,18.3331,-65.8839,
983,Carolina,Pr,Carolina,18.4135,-65.9777,
984,Carolina,Pr,Carolina,18.3934,-65.9725,
985,Carolina,Pr,Carolina,18.3457,-65.9389,
986,Carolina,Pr,Carolina,18.3934,-65.9725,
987,Carolina,Pr,Carolina,18.3735,-65.9599,
988,Carolina,Pr,Carolina,18.3934,-65.9725,
962,Catano,Pr,Catano,18.4376,-66.1404,
963,Catano,Pr,Catano,18.4432,-66.1393,
736,Cayey,Pr,Cayey,18.103,-66.1393,
737,Cayey,Pr,Cayey,18.103,-66.1393,
735,Ceiba,Pr,Ceiba,18.2649,-65.5948,
742,Roosevelt Roads,Pr,Ceiba,18.2649,-65.5948,
638,Ciales,Pr,Ciales,18.3362,-66.4721,
739,Cidra,Pr,Cidra,18.1815,-66.1695,
769,Coamo,Pr,Coamo,18.096,-66.3508,
782,Comerio,Pr,Comerio,18.225,-66.2199,
783,Corozal,Pr,Corozal,18.3044,-66.3305,
775,Culebra,Pr,Culebra,18.3237,-65.2965,
646,Dorado,Pr,Dorado,18.4361,-66.282,
738,Fajardo,Pr,Fajardo,18.3594,-65.6114,
740,Puerto Real,Pr,Fajardo,18.332,-65.6388,
650,Florida,Pr,Florida,18.3601,-66.5623,
647,Ensenada,Pr,Guanica,17.9696,-66.9398,
653,Guanica,Pr,Guanica,17.9725,-66.8987,
704,Aguirre,Pr,Guayama,17.9923,-66.1393,
784,Guayama,Pr,Guayama,17.9923,-66.1393,
656,Guayanilla,Pr,Guayanilla,18.0233,-66.7869,
785,Guayama,Pr,Guayanilla,18.0188,-66.7956,
965,Guaynabo,Pr,Guaynabo,18.4288,-66.1154,
966,Guaynabo,Pr,Guaynabo,18.3968,-66.1149,
969,Guaynabo,Pr,Guaynabo,18.3623,-66.1137,
970,Guaynabo,Pr,Guaynabo,18.3591,-66.1123,
971,Guaynabo,Pr,Guaynabo,18.3094,-66.1136,
778,Gurabo,Pr,Gurabo,18.2591,-65.9746,
659,Hatillo,Pr,Hatillo,18.4814,-66.8087,
660,Hormigueros,Pr,Hormigueros,18.1455,-67.1353,
741,Punta Santiago,Pr,Humacao,18.1622,-65.7535,
791,Humacao,Pr,Humacao,18.138,-65.7885,
792,Humacao,Pr,Humacao,18.138,-65.7885,
662,Isabela,Pr,Isabela,18.4803,-67.0282,
664,Jayuya,Pr,Jayuya,18.2176,-66.5983,
795,Juana Diaz,Pr,Juana Diaz,17.9974,-66.4932,
777,Juncos,Pr,Juncos,18.2065,-65.9018,
667,Lajas,Pr,Lajas,18.0151,-67.056,
631,Castaner,Pr,Lares,18.2692,-66.865,
669,Lares,Pr,Lares,18.296,-66.8819,
670,Las Marias,Pr,Las Marias,18.2521,-66.991,
771,Las Piedras,Pr,Las Piedras,18.1966,-65.872,
772,Loiza,Pr,Loiza,18.4474,-65.8994,
773,Luquillo,Pr,Luquillo,18.366,-65.7081,
674,Manati,Pr,Manati,18.4455,-66.4903,
606,Maricao,Pr,Maricao,18.1729,-66.9441,
707,Maunabo,Pr,Maunabo,18.007,-65.8987,
680,Mayaguez,Pr,Mayaguez,18.219,-67.5081,
681,Mayaguez,Pr,Mayaguez,18.219,-67.5081,
682,Mayaguez,Pr,Mayaguez,18.219,-67.5081,
676,Moca,Pr,Moca,18.3837,-67.0808,
687,Morovis,Pr,Morovis,18.317,-66.4152,
718,Naguabo,Pr,Naguabo,18.2214,-65.7783,
744,Rio Blanco,Pr,Naguabo,18.2063,-65.7431,
719,Naranjito,Pr,Naranjito,18.298,-66.2298,
720,Orocovis,Pr,Orocovis,18.2269,-66.394,
723,Patillas,Pr,Patillas,18.01,-66.0106,
624,Penuelas,Pr,Penuelas,18.0235,-66.7262,
715,Mercedita,Pr,Ponce,18.0119,-66.5637,
716,Ponce,Pr,Ponce,18.002,-66.6074,
717,Ponce,Pr,Ponce,18.002,-66.6074,
728,Ponce,Pr,Ponce,18.002,-66.6074,
730,Ponce,Pr,Ponce,18.002,-66.6074,
731,Ponce,Pr,Ponce,18.0383,-66.6263,
732,Ponce,Pr,Ponce,18.0218,-66.6137,
733,Ponce,Pr,Ponce,18.0193,-66.6192,
734,Ponce,Pr,Ponce,17.9995,-66.6439,
780,Coto Laurel,Pr,Ponce,18.002,-66.6074,
678,Quebradillas,Pr,Quebradillas,18.453,-66.9337,
677,Rincon,Pr,Rincon,18.3358,-67.2525,
721,Palmer,Pr,Rio Grande,18.3642,-65.7783,
745,Rio Grande,Pr,Rio Grande,18.3673,-65.8166,
637,Sabana Grande,Pr,Sabana Grande,18.0873,-66.9349,
751,Salinas,Pr,Salinas,17.9985,-66.2648,
636,Rosario,Pr,San German,18.1133,-67.0397,
683,San German,Pr,San German,18.1133,-67.0397,
901,San Juan,Pr,San Juan,18.4659,-66.1036,
902,San Juan,Pr,San Juan,18.4105,-66.0605,
906,San Juan,Pr,San Juan,18.4105,-66.0605,
907,San Juan,Pr,San Juan,18.4516,-66.077,
908,San Juan,Pr,San Juan,18.4105,-66.0605,
909,San Juan,Pr,San Juan,18.4434,-66.0681,
910,San Juan,Pr,San Juan,18.4105,-66.0605,
911,San Juan,Pr,San Juan,18.4508,-66.0579,
912,San Juan,Pr,San Juan,18.4442,-66.0599,
913,San Juan,Pr,San Juan,18.4507,-66.0434,
914,San Juan,Pr,San Juan,18.4105,-66.0605,
915,San Juan,Pr,San Juan,18.4379,-66.0481,
916,San Juan,Pr,San Juan,18.4105,-66.0605,
917,San Juan,Pr,San Juan,18.422,-66.0506,
918,San Juan,Pr,San Juan,18.4191,-66.0623,
919,San Juan,Pr,San Juan,18.4105,-66.0605,
920,San Juan,Pr,San Juan,18.4068,-66.0919,
921,San Juan,Pr,San Juan,18.3904,-66.0661,
922,San Juan,Pr,San Juan,18.4105,-66.0605,
923,San Juan,Pr,San Juan,18.4108,-66.0367,
924,San Juan,Pr,San Juan,18.3964,-66.0115,
925,San Juan,Pr,San Juan,18.4011,-66.0498,
926,San Juan,Pr,San Juan,18.3694,-66.0628,
927,San Juan,Pr,San Juan,18.3852,-66.072,
928,San Juan,Pr,San Juan,18.4105,-66.0605,
929,San Juan,Pr,San Juan,18.4105,-66.0605,
930,San Juan,Pr,San Juan,18.4105,-66.0605,
931,San Juan,Pr,San Juan,18.4105,-66.0605,
933,San Juan,Pr,San Juan,18.4105,-66.0605,
935,San Juan,Pr,San Juan,18.4105,-66.0605,
936,San Juan,Pr,San Juan,18.4105,-66.0605,
937,San Juan,Pr,San Juan,18.4105,-66.0605,
938,San Juan,Pr,San Juan,18.4105,-66.0605,
939,San Juan,Pr,San Juan,18.4105,-66.0605,
940,San Juan,Pr,San Juan,18.4105,-66.0605,
955,San Juan,Pr,San Juan,18.4105,-66.0605,
968,Guaynabo,Pr,San Juan,18.4105,-66.0605,
975,San Juan,Pr,San Juan,18.4105,-66.0605,
979,Carolina,Pr,San Juan,18.4105,-66.0605,
981,Carolina,Pr,San Juan,18.4105,-66.0605,
982,Carolina,Pr,San Juan,18.4105,-66.0605,
754,San Lorenzo,Pr,San Lorenzo,18.1876,-65.9624,
685,San Sebastian,Pr,San Sebastian,18.3236,-66.9722,
757,Santa Isabel,Pr,Santa Isabel,17.9912,-66.3955,
953,Toa Alta,Pr,Toa Alta,18.3568,-66.257,
954,Toa Alta,Pr,Toa Alta,18.3589,-66.2581,
949,Toa Baja,Pr,Toa Baja,18.4319,-66.1997,
950,Toa Baja,Pr,Toa Baja,18.4578,-66.1965,
951,Toa Baja,Pr,Toa Baja,18.4578,-66.1965,
952,Sabana Seca,Pr,Toa Baja,18.4578,-66.1965,
976,Trujillo Alto,Pr,Trujillo Alto,18.3381,-65.9892,
977,Trujillo Alto,Pr,Trujillo Alto,18.337,-65.9901,
978,St Just,Pr,Trujillo Alto,18.337,-65.9901,
611,Angeles,Pr,Utuado,18.2795,-66.8022,
641,Utuado,Pr,Utuado,18.25,-66.699,
692,Vega Alta,Pr,Vega Alta,18.4358,-66.3385,
693,Vega Baja,Pr,Vega Baja,18.4431,-66.3983,
694,Vega Baja,Pr,Vega Baja,18.4431,-66.3983,
765,Vieques,Pr,Vieques,18.1233,-65.4604,
766,Villalba,Pr,Villalba,18.1205,-66.4966,
767,Yabucoa,Pr,Yabucoa,18.0455,-65.887,
698,Yauco,Pr,Yauco,18.061,-66.8612,
727,Caguas,,,18.2122,-66.0793,5
