Postal Code,Place Name,State,State Abbreviation,City,Latitude,Longitude
18600,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18601,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18603,Brottby,Stockholm,AB,Vallentuna,59.5632,18.2403
18621,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18622,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18623,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18624,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18625,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18626,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18630,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18631,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18632,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18633,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18634,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18635,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18636,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18637,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18638,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18639,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18640,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18641,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18642,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18643,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18644,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18645,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18646,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18649,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18650,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18651,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18652,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18653,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18654,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18655,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18660,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18670,Brottby,Stockholm,AB,Vallentuna,59.5632,18.2403
18686,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18691,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18692,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18693,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18694,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18695,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18696,Vallentuna,Stockholm,AB,Vallentuna,59.5344,18.0776
18697,Brottby,Stockholm,AB,Vallentuna,59.5632,18.2403
13025,Ingmarsö,Stockholm,AB,Österåker,59.4675,18.7494
18400,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18403,Ljusterö,Stockholm,AB,Österåker,59.5275,18.6211
18410,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18421,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18422,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18423,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18424,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18425,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18426,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18427,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18428,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18430,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18431,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18432,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18433,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18434,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18435,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18436,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18437,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18438,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18440,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18441,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18442,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18443,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18444,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18450,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18451,Österskär,Stockholm,AB,Österåker,59.4671,18.3062
18452,Österskär,Stockholm,AB,Österåker,59.4671,18.3062
18460,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18461,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18462,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18463,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18470,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18480,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18485,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18486,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18491,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18492,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18494,Åkersberga,Stockholm,AB,Österåker,59.4794,18.2997
18495,Ljusterö,Stockholm,AB,Österåker,59.5275,18.6211
18497,Ljusterö,Stockholm,AB,Österåker,59.5275,18.6211
13033,Gällnöby,Stockholm,AB,Värmdö,59.4,18.6333
13034,Skälvik,Stockholm,AB,Värmdö,59.4481,18.69
13036,Nämdö,Stockholm,AB,Värmdö,59.1833,18.6833
13037,Stavsnäs,Stockholm,AB,Värmdö,59.2833,18.6833
13038,Runmarö,Stockholm,AB,Värmdö,59.3196,18.7213
13039,Sandhamn,Stockholm,AB,Värmdö,59.2833,18.9167
13040,Djurhamn,Stockholm,AB,Värmdö,59.3,18.6833
13042,Stavsudda,Stockholm,AB,Värmdö,59.3499,18.7582
13043,Möja,Stockholm,AB,Värmdö,59.3997,18.8331
13400,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13401,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13406,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13407,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13408,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13421,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13422,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13423,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13424,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13425,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13426,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13427,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13428,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13429,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13430,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13431,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13433,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13434,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13435,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13436,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13437,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13438,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13440,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13441,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13442,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13443,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13444,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13460,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13461,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13462,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13463,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13464,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13465,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13466,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13467,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13469,Ingarö,Stockholm,AB,Värmdö,59.3268,18.3898
13481,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13482,Gustavsberg,Stockholm,AB,Värmdö,59.3268,18.3898
13901,Värmdö,Stockholm,AB,Värmdö,59.35,18.5
13921,Värmdö,Stockholm,AB,Värmdö,59.35,18.5
13922,Värmdö,Stockholm,AB,Värmdö,59.35,18.5
13923,Värmdö,Stockholm,AB,Värmdö,59.35,18.5
13924,Värmdö,Stockholm,AB,Värmdö,59.35,18.5
