Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
974 01,Špania Dolina,Banská Bystrica,BC,48.8167,19.1333
974 05,Rakytovce,Banská Bystrica,BC,48.7083,19.1194
974 11,Sásová,Banská Bystrica,BC,48.7667,19.1667
976 02,Jergaly,Banská Bystrica,BC,48.85,19.1417
976 03,"Polkanová (?.d.1,2,3)",Banská Bystrica,BC,48.8,19.0833
976 11,Baláže,Banská Bystrica,BC,48.775,19.2167
976 13,Slovenská ?up?a,Banská Bystrica,BC,48.7667,19.2833
976 31,Vlkanová,Banská Bystrica,BC,48.6667,19.15
976 32,Badín,Banská Bystrica,BC,48.6667,19.1333
976 33,Ponická Lehôtka,Banská Bystrica,BC,48.6917,19.2833
976 34,Jabriková,Banská Bystrica,BC,48.75,19.0667
976 37,Hrocho?,Banská Bystrica,BC,48.6667,19.3167
976 39,Donovaly,Banská Bystrica,BC,48.8833,19.2333
976 55,Strelníky,Banská Bystrica,BC,48.7167,19.4
976 61,Hiade?,Banská Bystrica,BC,48.8167,19.3333
976 62,Brusno - kúpele,Banská Bystrica,BC,48.8,19.3833
976 81,Štiavni?ka,Banská Bystrica,BC,48.8333,18.3833
976 96,Medzibrod,Banská Bystrica,BC,48.8,19.35
966 15,Banská Belá,Banská Štiavnica,BC,48.4833,18.9333
969 01,Banky,Banská Štiavnica,BC,48.4833,18.8667
969 72,Svätý Anton,Banská Štiavnica,BC,48.4167,18.9333
969 73,Pren?ov,Banská Štiavnica,BC,48.3667,18.9333
969 75,Klastava,Banská Štiavnica,BC,48.3333,18.8667
969 81,Štiavnické Bane,Banská Štiavnica,BC,48.4333,18.8667
969 82,Žakýl,Banská Štiavnica,BC,48.525,18.9333
976 43,Piesok,Brezno,BC,48.8,19.5667
976 44,Mýto pod ?umbierom,Brezno,BC,48.85,19.6333
976 45,Osrblie,Brezno,BC,48.75,19.5333
976 46,Valaská,Brezno,BC,48.8167,19.5833
976 51,Brucha?ka,Brezno,BC,48.7244,19.6222
976 52,Fajtov,Brezno,BC,48.75,19.6833
976 53,Drábsko,Brezno,BC,48.65,19.65
976 56,Pohronská Polhora,Brezno,BC,48.75,19.8
976 57,Michalová,Brezno,BC,48.7667,19.7833
976 63,Predajná,Brezno,BC,48.8167,19.4667
976 64,Bacúch,Brezno,BC,48.8667,19.8167
976 66,Hámor,Brezno,BC,48.85,19.9
976 67,Závadka nad Hronom,Brezno,BC,48.85,19.9167
976 68,He?pa,Brezno,BC,48.8667,19.9667
976 69,Zlatno,Brezno,BC,48.8333,20.0833
976 71,?ervená Skala,Brezno,BC,48.8167,20.15
976 73,Telgárt,Brezno,BC,48.85,20.2
976 75,Jasenie,Brezno,BC,48.8333,19.4667
976 97,Dubová,Brezno,BC,48.8167,19.4333
976 98,Dolná Lehota,Brezno,BC,48.8167,19.5083
977 01,Predné Halny,Brezno,BC,48.85,19.6917
977 03,Mazorníkovo,Brezno,BC,48.85,19.6917
962 02,Víg?aš,Detva,BC,48.5667,19.3
962 04,Korytárky,Detva,BC,48.5167,19.4667
962 05,Slanec,Detva,BC,48.6083,19.5417
962 06,Bratkovica,Detva,BC,48.6,19.6333
962 12,Krné,Detva,BC,48.6063,19.2167
962 25,Slatinské Lazy,Detva,BC,48.5,19.3333
962 75,Dolný Tisovník,Detva,BC,48.4,19.3833
985 45,?echánky,Detva,BC,48.55,19.6
985 51,Zubria,Detva,BC,48.5167,19.4833
962 41,Jalšovík,Krupina,BC,48.3188,19.1125
962 43,Horné Mladonice,Krupina,BC,48.35,19.15
962 44,Litava,Krupina,BC,48.3,19.1833
962 51,Selce,Krupina,BC,48.2583,19.075
962 52,Duchenec,Krupina,BC,48.25,19.2
962 55,Dolné Rykyn?ice,Krupina,BC,48.2,18.9667
962 65,Rakovec,Krupina,BC,48.2972,18.9972
962 66,Sebechleby,Krupina,BC,48.2833,18.95
962 67,Ladzany,Krupina,BC,48.2667,18.9167
962 68,Bá?ovce,Krupina,BC,48.2333,18.9167
962 71,Hontianske Moravce,Krupina,BC,48.1972,18.8694
963 01,Žibritov,Krupina,BC,48.4,18.9833
980 33,Šurice,Lu?enec,BC,48.2333,19.9167
984 01,Mikušovce,Lu?enec,BC,48.35,19.775
985 11,Hali?,Lu?enec,BC,48.35,19.5833
985 12,Tuhár,Lu?enec,BC,48.4333,19.5167
985 13,Ábelová,Lu?enec,BC,48.4167,19.4333
985 22,To?nica,Lu?enec,BC,48.4167,19.65
985 31,Trebe?ovce,Lu?enec,BC,48.2833,19.7167
985 32,Šára,Lu?enec,BC,48.2667,19.6167
985 41,Dora,Lu?enec,BC,48.3083,19.8
985 42,Ve?ké Dravce,Lu?enec,BC,48.35,19.85
985 52,Divínske Lazy,Lu?enec,BC,48.4417,19.5417
985 53,Herman,Lu?enec,BC,48.5,19.55
985 54,Lovinoba?a,Lu?enec,BC,48.4333,19.6
985 55,Podre?any,Lu?enec,BC,48.4,19.6167
985 56,Gregorova Vieska,Lu?enec,BC,48.3833,19.5833
985 57,Holiša,Lu?enec,BC,48.3167,19.75
985 58,?akanovce,Lu?enec,BC,48.2167,19.8333
985 59,Vidiná,Lu?enec,BC,48.3667,19.65
986 01,Kurtá?,Lu?enec,BC,48.2729,19.8271
980 12,Hrn?iarske Zalužany,Poltár,BC,48.4,19.8833
980 13,Selce,Poltár,BC,48.4333,19.8667
985 01,Ve?ká Ves,Poltár,BC,48.3833,19.6833
985 02,Brezni?ka,Poltár,BC,48.4333,19.7
985 03,Va?kovo,Poltár,BC,48.4667,19.8333
985 04,Zlatno,Poltár,BC,48.55,19.75
985 05,Kokava nad Rimavicou,Poltár,BC,48.5667,19.8333
985 06,Uteká?,Poltár,BC,48.6,19.8
985 07,?ubienka,Poltár,BC,48.575,19.7417
985 23,Hrn?iarky,Poltár,BC,48.4667,19.6333
985 24,Bystri?ka,Poltár,BC,48.4583,19.7167
985 25,Uhorské,Poltár,BC,48.4667,19.75
985 26,Vl?ovo,Poltár,BC,48.5667,19.7167
987 01,Slaná Lehota,Poltár,BC,48.45,19.8
049 01,Muránska Huta,Revúca,BC,48.7833,20.1167
049 13,Nová?any,Revúca,BC,48.575,20.3083
049 14,Šivetice,Revúca,BC,48.5833,20.2833
049 16,Gemerské Teplice,Revúca,BC,48.6367,20.26
049 18,Tur?ok,Revúca,BC,48.6333,20.15
049 61,Rákošská Ba?a,Revúca,BC,48.6,20.1333
049 62,Kame?any,Revúca,BC,48.5833,20.2
049 64,?erve?any,Revúca,BC,48.6167,20.1
050 01,Revú?ka,Revúca,BC,48.7167,20.1333
982 01,Behynce,Revúca,BC,48.4292,20.325
982 52,Gregorovce,Revúca,BC,48.4444,20.2139
982 62,Držkovce,Revúca,BC,48.55,20.2333
982 63,Viš?ové,Revúca,BC,48.5083,20.2
982 64,Rybník,Revúca,BC,48.55,20.1333
982 65,Repištia,Revúca,BC,48.5833,20.1167
982 66,Hrlica,Revúca,BC,48.6333,20.05
979 01,Zacharovce,Rimavská Sobota,BC,48.4167,20.05
980 01,Belín,Rimavská Sobota,BC,48.35,20.1167
980 02,Širkovce,Rimavská Sobota,BC,48.2833,20.0833
980 03,Dr?a,Rimavská Sobota,BC,48.2667,20.1167
980 04,Hostice,Rimavská Sobota,BC,48.2333,20.0667
980 11,Ož?any,Rimavská Sobota,BC,48.3833,19.9
980 21,Žíp,Rimavská Sobota,BC,48.3667,20.2
980 22,Uzovská Panica,Rimavská Sobota,BC,48.4167,20.15
980 23,Slizké,Rimavská Sobota,BC,48.5167,20.0833
980 25,Hrušovo,Rimavská Sobota,BC,48.5167,20.05
980 26,Babinec,Rimavská Sobota,BC,48.5167,20
980 31,?ierny Potok,Rimavská Sobota,BC,48.6167,19.85
980 32,Blhovce,Rimavská Sobota,BC,48.2667,19.9667
980 34,Ve?elkov,Rimavská Sobota,BC,48.1667,19.9333
980 35,Gemerský Jablonec,Rimavská Sobota,BC,48.2,19.9833
980 41,Dubovec,Rimavská Sobota,BC,48.2833,20.1667
980 42,Zádor,Rimavská Sobota,BC,48.3167,20.25
980 43,?íž,Rimavská Sobota,BC,48.3167,20.2833
980 44,Chanava,Rimavská Sobota,BC,48.3333,20.3
980 45,Neporadza,Rimavská Sobota,BC,48.3667,20.4
980 50,V?elince,Rimavská Sobota,BC,48.3833,20.3
980 51,Krásna,Rimavská Sobota,BC,48.4167,19.9667
980 52,Vrbovce nad Rimavou,Rimavská Sobota,BC,48.4633,19.9467
980 53,Lehota nad Rimavicou,Rimavská Sobota,BC,48.5083,19.9417
980 54,Kyjatice,Rimavská Sobota,BC,48.5333,20.0167
980 55,Klenovec,Rimavská Sobota,BC,48.6,19.9
980 61,Tisovec,Rimavská Sobota,BC,48.6833,19.95
981 01,Hnúš?a,Rimavská Sobota,BC,48.5833,19.9667
982 51,Barca,Rimavská Sobota,BC,48.3667,20.2333
982 67,Popro?,Rimavská Sobota,BC,48.5833,20.0333
990 01,Ve?ký Krtíš,Ve?ký Krtíš,BC,48.2,19.35
991 01,Senné,Ve?ký Krtíš,BC,48.3333,19.4167
991 02,Bukovec,Ve?ký Krtíš,BC,48.2333,19.4
991 03,Horné Strháre,Ve?ký Krtíš,BC,48.2667,19.3667
991 05,Obeckov,Ve?ký Krtíš,BC,48.1667,19.3333
991 06,Kiarov,Ve?ký Krtíš,BC,48.1167,19.4167
991 07,Iliašov,Ve?ký Krtíš,BC,48.1167,19.2833
991 08,Chrastince,Ve?ký Krtíš,BC,48.1,19.25
991 09,Ve?ká ?alomija,Ve?ký Krtíš,BC,48.0667,19.2
991 10,Ve?ká Ves nad Ip?om,Ve?ký Krtíš,BC,48.0833,19.1
991 11,Balog nad Ip?om,Ve?ký Krtíš,BC,48.0833,19.1333
991 21,Imrov Kopec,Ve?ký Krtíš,BC,48.3083,19.4667
991 22,Glabušovce,Ve?ký Krtíš,BC,48.15,19.4667
