Postal Code,Place Name,State,Latitude,Longitude
10100,Samphanthawong,Bangkok,13.7333,100.5
10110,Wattana,Bangkok,13.7083,100.4562
10120,Bang Kholame,Bangkok,13.7083,100.4562
10140,Thung Khru,Bangkok,13.6833,100.5
10150,Bang Bon,Bangkok,13.7,100.4667
10160,Nong Khaem,Bangkok,13.6833,100.35
10170,Thawi Wattana,Bangkok,13.7667,100.45
10200,Phra Nakhon,Bangkok,13.75,100.5167
10210,Lak Si,Bangkok,14.1833,100.2833
10220,Sai Mai,Bangkok,13.8667,100.6
10230,Lat Phrao,Bangkok,14.3333,99.9167
10240,Saphan Sung B39,Bangkok,13.7667,100.65
10250,Pra Vet,Bangkok,13.8583,100.4688
10260,Phra Khanong,Bangkok,13.7,100.6
10300,Dusit,Bangkok,13.7833,100.5167
10310,Wangthong Lang,Bangkok,13.7833,100.5167
10320,Huai Khwang,Bangkok,13.7833,100.5167
10330,Pahtum Wan,Bangkok,13.7833,100.5167
10400,Ding Daeng,Bangkok,13.7625,100.531
10500,Bang Rak,Bangkok,13.7333,100.5333
10510,Khlong Samwa,Bangkok,13.8167,100.75
10520,Lat Krabang,Bangkok,13.7167,100.7833
10530,Nong Chok,Bangkok,13.85,100.8667
10600,Thon Buri,Bangkok,13.7167,100.4833
10700,Bangkok Noi,Bangkok,13.75,100.4833
10800,Bang Su,Bangkok,13.8,100.5333
10130,Phra Pradaeng,Samut Prakan,13.6667,100.5333
10270,Muang Samut Prakan,Samut Prakan,13.6,100.6
10290,Phra Samut Chedi,Samut Prakan,13.8583,100.4688
10540,Bang Saotong,Samut Prakan,13.6,100.7167
10560,Bang Bo,Samut Prakan,13.5833,100.8167
11000,Muang Nonthaburi,Nonthaburi,13.89,100.4333
11110,Bang Bua Thong,Nonthaburi,13.9167,100.4333
11120,Pak Kret,Nonthaburi,13.9167,100.5
11130,Bang Kruai,Nonthaburi,13.8,100.4833
11140,Bang Yai,Nonthaburi,13.85,100.4333
11150,Sai Noi,Nonthaburi,13.9667,100.3167
12000,Muang Pathum Thani,Pathum Thani,14.0433,100.64
12110,Thanyaburi,Pathum Thani,14.0433,100.64
12120,Khlong Luang,Pathum Thani,14.0667,100.65
12140,Lat Lum Kaeo,Pathum Thani,14.0333,100.4167
12150,Lam Luk Ka,Pathum Thani,13.9333,100.75
12160,Sam Khok,Pathum Thani,14.05,100.55
12170,Nong Sua,Pathum Thani,14.1333,100.8333
