Postal Code,Place Name,State,County,Latitude,Longitude
820,Christiansted,Vi,St. Croix,17.7342,-64.7347
821,Christiansted,Vi,St. Croix,17.7342,-64.7347
822,Christiansted,Vi,St. Croix,17.7342,-64.7347
823,Christiansted,Vi,St. Croix,17.7342,-64.7347
824,Christiansted,Vi,St. Croix,17.7342,-64.7347
840,Frederiksted,Vi,St. Croix,17.7342,-64.7347
841,Frederiksted,Vi,St. Croix,17.7342,-64.7347
850,Kingshill,Vi,St. Croix,17.7342,-64.7347
851,Kingshill,Vi,St. Croix,17.7342,-64.7347
830,St John,Vi,St. John,18.3282,-64.7407
831,St John,Vi,St. John,18.3282,-64.7407
801,St Thomas,Vi,St. Thomas,18.3223,-64.9637
802,St Thomas,Vi,St. Thomas,18.3223,-64.9637
803,St Thomas,Vi,St. Thomas,18.3223,-64.9637
804,St Thomas,Vi,St. Thomas,18.3223,-64.9637
805,St Thomas,Vi,St. Thomas,18.3223,-64.9637
